Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.14496644295302044,0.17248322147651068,0.0614093959731544,0.16107382550335622,0.11212121212121247,0.004362416107382551,0.06845637583892619,0.0825503355704699,0.014429530201342284,0.12524271844660212,0.053020134228187826,0.01577181208053691,0.39821029082774057,0.21610738255033626,0.09161073825503367,0.0174496644295302
"(10, 20]",0.19966442953020191,0.10872483221476534,0.13187919463087291,0.10704697986577194,0.14414715719063567,0.007046979865771814,0.03724832214765097,0.03187919463087245,0.017449664429530203,0.05518394648829424,0.02550335570469798,0.022818791946308717,0.3605518269947796,0.1889261744966451,0.08859060402684571,0.030872483221476472
"(20, 30]",0.11375838926174502,0.148322147651007,0.09093959731543647,0.10268456375838947,0.12550335570469845,0.012080536912751683,0.02483221476510064,0.06409395973154353,0.09395973154362418,0.14932885906040289,0.03557046979865769,0.006375838926174498,0.36950037285607723,0.14463087248322193,0.1171140939597318,0.041946308724832154
"(30, 40]",0.12809364548495028,0.18026755852842852,0.15418060200668932,0.0675585284280936,0.09665551839464896,0.015384615384615387,0.046488294314381166,0.09698996655518428,0.07692307692307684,0.11806020066889655,0.048494983277591906,0.03177257525083608,0.38164251207729516,0.0702341137123747,0.08160535117056858,0.022073578595317698
"(40, 50]",0.11577181208053695,0.11577181208053705,0.11577181208053715,0.1278523489932887,0.11711409395973169,0.012416107382550343,0.06778523489932892,0.058724832214765,0.1479865771812085,0.0026845637583892616,0.012416107382550343,0.09463087248322186,0.43773303504847133,0.18020134228187934,0.07147651006711413,0.0553691275167784
"(50, 60]",0.13993288590604103,0.09832214765100684,0.04093959731543619,0.09597315436241641,0.08389261744966457,0.03087248322147649,0.03221476510067113,0.05704697986577178,0.08758389261744998,0.04295302013422813,0.03657718120805366,0.11409395973154367,0.34526472781506323,0.12181208053691331,0.14697986577181266,0.02248322147651005
"(60, 70]",0.10167224080267556,0.06421404682274245,0.10200668896321088,0.07892976588628771,0.05685618729096984,0.025083612040133763,0.023411371237458168,0.1070234113712376,0.06153846153846147,0.08461538461538458,0.03645484949832769,0.06622073578595325,0.3916759568933487,0.18829431438127098,0.1086956521739134,0.04147157190635446
"(70, 80]",0.06711409395973154,0.0889261744966444,0.10302013422818815,0.040939597315436185,0.14731543624161106,0.033221476510067065,0.09093959731543635,0.09161073825503353,0.056040268456375754,0.05805369127516769,0.06476510067114095,0.0567114093959731,0.43176733780760596,0.13489932885906086,0.06711409395973156,0.0026845637583892616
"(80, 90]",0.07558528428093662,0.04347826086956514,0.08227424749163888,0.13411371237458236,0.04013377926421397,0.06220735785953171,0.07792642140468241,0.13311036789297692,0.1013377926421407,0.06555183946488288,0.07525083612040151,0.04347826086956513,0.45413870246085014,0.05838926174496639,0.10536912751677867,0.010738255033557052
"(90, 100]",0.13355704697986637,0.020134228187919462,0.08154362416107401,0.13657718120805407,0.11174496644295341,0.0671140939597316,0.044630872483221395,0.2151006711409402,0.058053691275167726,0.10033557046979878,0.037919463087248244,0.002013422818791946,0.48866592344853205,0.02642140468227424,0.07792642140468237,0.045819397993310945
"(100, 110]",0.05033557046979856,0.0550335570469798,0.09597315436241631,0.19664429530201388,0.11140939597315466,0.05402684563758378,0.07281879194630875,0.03456375838926171,0.0681208053691275,0.06476510067114091,0.02013422818791947,0.001342281879194631,0.3799403430275908,0.0932885906040268,0.07416107382550338,0.021812080536912755
"(110, 120]",0.041471571906354456,0.032775919732441434,0.024080267558528403,0.09665551839464909,0.12408026755852898,0.053846153846153745,0.04983277591973236,0.14882943143812707,0.02709030100334445,0.06488294314381264,0.046153846153846045,0.013712374581939807,0.29951690821256066,0.07792642140468227,0.10869565217391317,0.05685618729096986
"(120, 130]",0.1114093959731544,0.030536912751677827,0.10469798657718124,0.14295302013422864,0.14798657718120867,0.02013422818791946,0.12382550335570472,0.12684563758389275,0.03389261744966438,0.09496644295302036,0.06845637583892622,0.025838926174496627,0.32475764354959086,0.1043624161073827,0.11644295302013426,0.0788590604026847
