Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 10]",0.005952380952380951,0.03769841269841272,0.003150057273768614,0.004597701149425286,0.02137931034482758,0.2013793103448282,0.08241379310344839,0.13034482758620694,0.12852348993288626,0.2667785234899321,0.228859060402684,0.05436241610738244
"(10, 20]",0.0,0.03985507246376813,0.010067114093959731,0.021460423634336655,0.021812080536912744,0.14362416107382583,0.07491638795986641,0.07826086956521745,0.14597315436241645,0.15436241610738305,0.15335570469798682,0.06946308724832202
"(20, 30]",0.00950782997762864,0.038310961968680106,0.01621923937360178,0.05257270693512315,0.00033557046979865775,0.06342281879194625,0.17483221476510077,0.04362416107382543,0.3966442953020132,0.15436241610738294,0.08355704697986584,0.11879194630872487
"(30, 40]",0.0,0.030379041248606457,0.03651059085841696,0.023132664437012243,0.013043478260869573,0.1434782608695657,0.1391304347826093,0.054180602006688866,0.2157190635451506,0.17157190635451547,0.12842809364548533,0.08394648829431443
"(40, 50]",0.0005592841163310962,0.02432885906040269,0.04418344519015667,0.06403803131991054,0.057046979865771744,0.1822147651006713,0.09362416107382548,0.054697986577181126,0.1838926174496643,0.14429530201342294,0.14127516778523488,0.060738255033557016
"(50, 60]",0.04138702460850114,0.020973154362416094,0.023769574944071562,0.017617449664429526,0.045302013422818706,0.1261744966442955,0.21275167785234966,0.036577181208053644,0.31073825503355734,0.061409395973154327,0.18624161073825563,0.08489932885906064
"(60, 70]",0.05797101449275368,0.08639910813823848,0.010869565217391306,0.006967670011148269,0.043143812709030074,0.12742474916388,0.17525083612040201,0.09197324414715748,0.3026755852842807,0.14347826086956564,0.09197324414715712,0.05551839464882934
"(70, 80]",0.002796420581655481,0.08389261744966421,0.014261744966442958,0.006152125279642056,0.03825503355704691,0.1785234899328864,0.1000000000000001,0.04295302013422812,0.22550335570469848,0.059060402684563654,0.18422818791946324,0.0523489932885905
"(80, 90]",0.014821029082774044,0.07438478747203563,0.04542920847268674,0.003355704697986577,0.052348993288590516,0.15134228187919485,0.1174496644295306,0.006375838926174498,0.2591973244147155,0.18862876254180608,0.2046979865771814,0.06845637583892608
"(90, 100]",0.0011148272017837235,0.05379041248606474,0.08305369127516746,0.004180602006688962,0.0752508361204015,0.2137123745819405,0.03779264214046816,0.006020066889632109,0.14429530201342303,0.16040268456375872,0.26120401337792676,0.12943143812709043
"(100, 110]",0.017897091722595068,0.06180089485458615,0.046420581655481054,0.016219239373601792,0.049328859060402595,0.17919463087248338,0.09899328859060408,0.06308724832214761,0.3104026845637584,0.06610738255033548,0.18758389261745004,0.12953020134228213
"(110, 120]",0.015659955257270694,0.07074944071588353,0.026755852842809364,0.012583892617449669,0.04429530201342275,0.12147651006711413,0.13456375838926213,0.12348993288590658,0.2648829431438126,0.028093645484949817,0.11772575250836136,0.22240802675585322
"(120, 130]",0.010312151616499442,0.08305462653288735,0.054530201342281925,0.012263099219620967,0.11337792642140478,0.10401337792642154,0.10769230769230775,0.08795986622073572,0.1755033557046986,0.08523489932885903,0.0721476510067114,0.1100671140939601
"(130, 140]",0.04642058165548106,0.11856823266219214,0.13199105145413886,0.07354586129753905,0.06879194630872483,0.22416107382550382,0.12751677852349033,0.1533557046979869,0.12147651006711443,0.1328859060402689,0.10234899328859084,0.10872483221476512
"(140, 150]",0.024049217002237118,0.15771812080536918,0.0699554069119287,0.07354586129753907,0.12809364548495,0.212709030100335,0.13355704697986587,0.07483221476510082,0.09565217391304351,0.13478260869565248,0.27391304347826084,0.10133779264214088
"(150, 160]",0.056856187290969896,0.08054626532887389,0.05145413870246094,0.07831661092530656,0.06510067114093951,0.17214765100671195,0.14080267558528473,0.08160535117056875,0.1546979865771818,0.0828859060402686,0.17953020134228234,0.08791946308724836
"(160, 170]",0.018736017897091714,0.050894854586129815,0.07382550335570466,0.07913870246084997,0.07214765100671151,0.09429530201342304,0.1486577181208059,0.0704697986577182,0.20134228187919506,0.081543624161074,0.1959731543624165,0.06543624161073824
"(170, 180]",0.05900447427293071,0.10654362416107399,0.14130434782608686,0.060479375696767056,0.0508361204013377,0.13612040133779296,0.1749163879598664,0.028428093645484945,0.20468227424749205,0.10401337792642151,0.13678929765886325,0.08394648829431443
"(180, 190]",0.030657748049052413,0.017279821627647712,0.046700223713646655,0.02348993288590602,0.08489932885906064,0.1510067114093962,0.15268456375838968,0.04060402684563751,0.16476510067114142,0.05671140939597309,0.07449664429530208,0.09496644295302024
"(190, 200]",0.01621923937360178,0.015659955257270687,0.0799776286353466,0.0002796420581655481,0.13523489932885938,0.1899328859060407,0.06174496644295296,0.018791946308724838,0.1761744966442959,0.0439597315436241,0.04194630872483215,0.15335570469798684
"(200, 210]",0.032887402452619854,0.10451505016722394,0.12764771460423627,0.00863991081382386,0.10602006688963242,0.14113712374581955,0.07157190635451516,0.058528428093645425,0.23779264214046872,0.06254180602006695,0.06889632107023407,0.10836120401337813
"(210, 220]",0.015939597315436243,0.05173378076062646,0.019854586129753903,0.052852348993288646,0.0630872483221476,0.20167785234899363,0.1348993288590603,0.07348993288590612,0.3248322147651009,0.0174496644295302,0.12416107382550355,0.059060402684563716
"(220, 230]",0.034955257270693534,0.04725950782997771,0.05908584169453735,0.04026845637583896,0.10906040268456388,0.18020134228187937,0.055369127516778416,0.032214765100671096,0.298993288590604,0.03489932885906036,0.09295302013422842,0.03624161073825497
"(230, 240]",0.04180602006688966,0.018115942028985497,0.04026845637583894,0.09559643255295422,0.0779264214046824,0.04715719063545139,0.07558528428093648,0.026755852842809336,0.17658862876254217,0.03678929765886284,0.13812709030100387,0.08294314381270919
"(240, 250]",0.08389261744966427,0.021532438478747213,0.03076062639821025,0.1277964205816557,0.08053691275167793,0.08523489932885923,0.11476510067114111,0.045302013422818734,0.14899328859060415,0.0711409395973155,0.06644295302013425,0.07516778523489949
"(250, 260]",0.006152125279642058,0.008109619686800896,0.0011148272017837235,0.08081655480984332,0.052348993288590495,0.1708053691275174,0.049664429530201254,0.09832214765100687,0.14983277591973262,0.017391304347826084,0.07123745819397999,0.0632107023411371
"(260, 270]",0.01672240802675585,0.0025083612040133784,0.008668903803131995,0.0883500557413598,0.02642140468227422,0.07558528428093647,0.03578595317725748,0.12642140468227472,0.12013422818791948,0.027516778523489913,0.07449664429530209,0.15000000000000008
"(270, 280]",0.002796420581655481,0.0416666666666667,0.03467561521252796,0.05201342281879199,0.017785234899328862,0.09697986577181242,0.06510067114093955,0.14899328859060426,0.19697986577181253,0.026510067114093927,0.07550335570469799,0.11006711409396006
"(280, 290]",0.030760626398210276,0.00866890380313199,0.0234113712374582,0.012583892617449667,0.0681208053691276,0.06241610738255034,0.13590604026845665,0.023489932885906024,0.20802675585284264,0.0,0.15652173913043546,0.01872909698996654
"(290, 300]",0.037904124860646586,0.006410256410256408,0.07997762863534671,0.021460423634336673,0.46354515050167205,0.5739130434782613,0.1220735785953176,0.07491638795986612,0.20906040268456422,0.00033557046979865775,0.20436241610738246,0.019463087248322138
"(300, 310]",0.03467561521252798,0.048937360178971004,0.26873601789709173,0.1401006711409395,0.7312080536912752,0.7654362416107388,0.5520134228187911,0.6734899328859061,0.167785234899329,0.07919463087248318,0.8144295302013432,0.3385906040268458
"(310, 320]",0.025167785234899317,0.0987136465324385,0.5027870680044595,0.46516164994425885,0.8006688963210703,0.819732441471573,0.7157718120805366,0.7531772575250849,0.13846153846153872,0.02642140468227423,0.8160535117056865,0.7936454849498343
"(320, 330]",0.3330546265328874,0.4292084726867334,0.5685123042505592,0.5192953020134223,0.7459731543624156,0.8322147651006727,0.8066889632107035,0.7281879194630858,0.566442953020135,0.48355704697986585,0.7560402684563753,0.841275167785236
"(330, 340]",0.533557046979866,0.5866890380313204,0.5822147651006709,0.48238255033557037,0.6620805369127523,0.7567114093959733,0.8171140939597323,0.7416107382550335,0.8802013422818804,0.7630872483221478,0.7855704697986575,0.8406040268456398
"(340, 350]",0.6153846153846153,0.6042363433667788,0.608138238573021,0.4947045707915271,0.7371237458193969,0.8561872909699015,0.7792642140468242,0.6999999999999982,0.8394648829431468,0.8050167224080285,0.7484949832775912,0.7896321070234122
"(350, 360]",0.6261185682326619,0.5973154362416108,0.5808165548098437,0.5162192393736004,0.7459731543624158,0.8151006711409404,0.8003355704698001,0.7255033557046984,0.8500000000000015,0.7174496644295298,0.7439597315436242,0.8171140939597322
"(360, 370]",0.581935123042505,0.6468120805369125,0.6205257270693515,0.44071588366890385,0.7231543624161068,0.8604026845637598,0.768791946308725,0.7657718120805368,0.8644295302013432,0.7526845637583901,0.7580536912751672,0.7577181208053696
"(370, 380]",0.4665551839464885,0.5610367892976582,0.6070234113712379,0.4311594202898549,0.695317725752508,0.8367892976588646,0.808695652173914,0.7394648829431425,0.8237458193979946,0.7551839464882948,0.6307692307692311,0.8160535117056867
"(380, 390]",0.5271252796420582,0.5813758389261742,0.6132550335570477,0.47063758389261734,0.7016778523489935,0.8802013422818804,0.8432885906040292,0.7802013422818792,0.7439597315436236,0.7644295302013433,0.7483221476510069,0.7916107382550346
"(390, 400]",0.5522930648769576,0.5782997762863531,0.6560758082497211,0.4798657718120809,0.6442953020134216,0.7912751677852357,0.8590604026845651,0.7899328859060417,0.77257525083612,0.6799331103678924,0.748829431438127,0.7979933110367915
"(400, 410]",0.5911371237458198,0.628483835005573,0.6387024608501126,0.47435897435897456,0.7314381270903005,0.8157190635451512,0.867224080267561,0.7033444816053512,0.6906040268456372,0.6432885906040264,0.7157718120805362,0.7379194630872474
"(410, 420]",0.6244407158836689,0.5956375838926178,0.5875279642058163,0.48741610738255053,0.6902684563758386,0.816778523489933,0.8120805369127523,0.7483221476510058,0.7758389261744966,0.6986577181208048,0.6795302013422819,0.7442953020134229
"(420, 430]",0.5861297539149883,0.6560402684563751,0.6521739130434782,0.4728747203579416,0.7872483221476514,0.8822147651006732,0.8362416107382568,0.7973154362416123,0.7846153846153862,0.6518394648829428,0.6906354515050175,0.7150501672240807
"(430, 440]",0.6042363433667785,0.6465997770345603,0.6336689038031323,0.45401337792642177,0.649832775919733,0.8387959866220758,0.7963210702341138,0.7963210702341144,0.7651006711409388,0.7476510067114094,0.6832214765100666,0.7828859060402693
"(440, 450]",0.5092281879194633,0.6275167785234906,0.6599552572706937,0.4815436241610741,0.7389261744966438,0.8013422818791953,0.856375838926176,0.7567114093959731,0.7752508361204025,0.7187290969899659,0.7558528428093642,0.7391304347826076
"(450, 460]",0.6034675615212526,0.5925615212527968,0.5758082497212927,0.4848993288590606,0.7244147157190635,0.6926421404682261,0.8543624161073841,0.7454849498327751,0.7718120805369127,0.720469798657719,0.6577181208053684,0.7526845637583889
"(460, 470]",0.6413043478260867,0.6262541806020065,0.6507803790412485,0.35702341137123705,0.7255033557046977,0.7899328859060414,0.8648829431438156,0.7338926174496647,0.7441471571906352,0.638795986622074,0.671906354515049,0.7379194630872481
"(470, 480]",0.659141583054626,0.5947603121516168,0.6526845637583891,0.43115942028985516,0.7705685618729099,0.8030100334448179,0.8367892976588643,0.8307692307692326,0.6691275167785227,0.7114093959731528,0.6342281879194624,0.657859531772575
"(480, 490]",0.5894854586129754,0.6031879194630883,0.6828859060402682,0.4191834451901567,0.7137583892617451,0.8181208053691291,0.776845637583893,0.7375838926174486,0.7006711409395969,0.687919463087248,0.5956375838926171,0.7308724832214771
"(490, 500]",0.5970357941834452,0.649888143176734,0.6401895206243035,0.41051454138702437,0.7285234899328871,0.7614093959731564,0.8295302013422836,0.8557046979865784,0.7494983277591974,0.6735785953177245,0.6578595317725747,0.7204013377926402
"(500, 510]",0.5838907469342253,0.6307134894091418,0.6383277216610551,0.45484949832775956,0.6775919732441475,0.818394648829432,0.8424749163879621,0.7739130434782622,0.6855704697986567,0.6852348993288584,0.5654362416107382,0.7560402684563761
"(510, 520]",0.6470917225950782,0.5847315436241611,0.6340579710144925,0.4546979865771808,0.8000000000000008,0.7667785234899331,0.8385906040268478,0.76510067114094,0.6640939597315425,0.6932885906040256,0.5942953020134228,0.7281879194630867
"(520, 530]",0.6515659955257268,0.6079418344519023,0.6638795986622079,0.4502237136465323,0.7264214046822743,0.7668896321070245,0.806711409395973,0.7959731543624168,0.8190635451505026,0.6655518394648822,0.6280936454849497,0.6789297658862858
"(530, 540]",0.6039576365663321,0.5939241917502787,0.6532438478747202,0.44593088071348974,0.7348993288590601,0.7983221476510081,0.8080267558528439,0.6769230769230764,0.6926174496644281,0.6187919463087248,0.6630872483221479,0.7221476510067122
"(540, 550]",0.5987136465324381,0.5718680089485453,0.6868008948545862,0.4334451901565992,0.7453020134228185,0.7815436241610746,0.7634228187919477,0.6795302013422801,0.7654362416107385,0.6040268456375827,0.6097315436241603,0.6899328859060395
"(550, 560]",0.6073021181716833,0.5610367892976589,0.6580267558528428,0.42725752508361226,0.7742474916387978,0.7806020066889641,0.7989966555183948,0.8086956521739137,0.7528428093645483,0.6411371237458197,0.6484949832775921,0.753846153846155
"(560, 570]",0.5813758389261748,0.5699105145413867,0.6546420581655481,0.41806487695749417,0.7604026845637581,0.8120805369127523,0.8030201342281884,0.7442953020134218,0.6661073825503355,0.6557046979865767,0.6231543624161071,0.6989932885906021
"(570, 580]",0.6451342281879195,0.5766219239373603,0.6965883668903804,0.40128635346756164,0.7597315436241606,0.7120805369127513,0.8020134228187926,0.8171140939597332,0.7063758389261744,0.6107382550335559,0.7322147651006713,0.7573825503355708
