Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 10]",0.18590604026845625,0.08590604026845645,0.07852348993288606,0.2694630872483222,0.2599145820622328,0.23208191126279867,0.2116040955631403,0.13926174496644325,0.05234899328859048,0.10402684563758399,0.48557046979865776,0.22315436241610734
"(10, 20]",0.24865771812080534,0.07382550335570474,0.1050335570469803,0.3731543624161078,0.22025625381330147,0.3704697986577182,0.25872483221476533,0.10570469798657714,0.052348993288590516,0.20000000000000065,0.4362416107382555,0.19765100671141003
"(20, 30]",0.23825503355704716,0.06073825503355698,0.06107382550335564,0.2741610738255031,0.18944478340451498,0.3057046979865773,0.2630872483221476,0.09395973154362416,0.06744966442953029,0.14328859060402716,0.3738255033557047,0.1721476510067115
"(30, 40]",0.2571906354515054,0.07759197324414711,0.09230769230769255,0.1869565217391308,0.2712070538157496,0.4006688963210699,0.2555183946488291,0.11103678929765923,0.10167224080267584,0.1802675585284285,0.43478260869565244,0.3408026755852843
"(40, 50]",0.19161073825503416,0.11174496644295313,0.08389261744966445,0.2392617449664427,0.22056131787675434,0.2382550335570473,0.18221476510067158,0.1187919463087251,0.06308724832214767,0.15805369127516816,0.3835570469798657,0.3751677852348994
"(50, 60]",0.1023489932885907,0.20234899328859077,0.18758389261744984,0.26946308724832163,0.17053081147040902,0.20872483221476512,0.12919463087248328,0.09664429530201363,0.0664429530201343,0.2825503355704698,0.42718120805369186,0.2177852348993294
"(60, 70]",0.22809364548494976,0.13578595317725767,0.17859531772575313,0.32274247491638797,0.2000608087564614,0.35050167224080303,0.23377926421404713,0.041137123745819335,0.10133779264214073,0.2525083612040137,0.4625418060200671,0.36956521739130455
"(70, 80]",0.22617449664429598,0.12818791946308733,0.052013422818791864,0.37919463087248334,0.2593044539353265,0.22785234899328938,0.1312080536912757,0.11677852348993323,0.038926174496644254,0.1399328859060405,0.44630872483221545,0.3137583892617449
"(80, 90]",0.1337792642140474,0.06755852842809362,0.12013422818791979,0.27281879194630865,0.25411836485662037,0.2080536912751679,0.12147651006711432,0.07382550335570473,0.06174496644295298,0.11845637583892638,0.33724832214765094,0.3040268456375839
"(90, 100]",0.0687919463087249,0.10369127516778537,0.1468227424749167,0.2638795986622076,0.2322894496807544,0.22775919732441494,0.20769230769230798,0.07959866220735788,0.09732441471571944,0.33812709030100324,0.2735785953177256,0.27725752508361173
"(100, 110]",0.11946308724832227,0.05838926174496636,0.1345637583892621,0.4627516778523491,0.25320317266626025,0.18993288590604063,0.09865771812080543,0.07818791946308722,0.07583892617449674,0.2342281879194637,0.27013422818791916,0.406040268456376
"(110, 120]",0.2140468227424751,0.12909698996655547,0.1120401337792644,0.4240802675585286,0.2836728488902406,0.24147157190635443,0.16454849498327812,0.04314381270903007,0.11036789297658885,0.13979933110367943,0.22006688963210702,0.31371237458193973
"(120, 130]",0.33087248322147617,0.0852348993288591,0.08993288590604032,0.2845637583892619,0.19188529591214165,0.19563758389261773,0.15000000000000013,0.0922818791946312,0.10335570469798665,0.2593959731543622,0.4352348993288592,0.1708053691275173
"(130, 140]",0.2375838926174496,0.0664429530201342,0.1268456375838931,0.14161073825503387,0.2147651006711414,0.18255033557046998,0.13590604026845665,0.03791946308724826,0.19630872483221506,0.2815436241610741,0.4718120805369128,0.19429530201342285
"(140, 150]",0.2177257525083613,0.1016722408026757,0.1153846153846157,0.3003344481605349,0.2672544846457889,0.2421404682274245,0.1040133779264217,0.03946488294314378,0.2846153846153848,0.19030100334448202,0.3525083612040133,0.2451505016722411
"(150, 160]",0.23691275167785272,0.09496644295302017,0.20771812080536894,0.26812080536912747,0.14521049420378332,0.04765100671140932,0.11677852348993314,0.0036912751677852344,0.2120805369127526,0.13791946308724856,0.33791946308724813,0.2768456375838924
"(160, 170]",0.2939597315436239,0.09563758389261766,0.22483221476510024,0.22550335570469818,0.10951799877974353,0.1825503355704704,0.1040268456375841,0.08020134228187932,0.08791946308724849,0.033221476510067086,0.2798657718120803,0.2567114093959727
"(170, 180]",0.2107023411371239,0.14882943143812744,0.12809364548495003,0.31438127090301043,0.06080875646093034,0.1712374581939805,0.06053511705685616,0.11571906354515064,0.22374581939799337,0.3775919732441473,0.2923076923076925,0.2060200668896331
"(180, 190]",0.1744966442953023,0.1939597315436245,0.2879194630872473,0.2681208053691273,0.13453325198291657,0.1892617449664433,0.014765100671140941,0.08691275167785258,0.3489932885906045,0.4083892617449674,0.26006711409396005,0.2627516778523486
"(190, 200]",0.18255033557047,0.09463087248322172,0.2704697986577177,0.24362416107382542,0.10799267846247697,0.11677852348993312,0.01577181208053691,0.07919463087248343,0.3369127516778527,0.2617449664429534,0.31375838926174476,0.39261744966442974
"(200, 210]",0.1451505016722412,0.08060200668896321,0.15685618729097017,0.23946488294314394,0.14806932198236583,0.1290969899665555,0.05016722408026746,0.14080267558528484,0.3193979933110369,0.24147157190635515,0.36956521739130394,0.236789297658863
"(210, 220]",0.21778523489932863,0.11040268456375849,0.18523489932885892,0.31006711409395965,0.11989017693715712,0.15234899328859064,0.002013422818791946,0.12449664429530229,0.23288590604026882,0.24127516778523525,0.3238255033557048,0.31912751677852375
"(220, 230]",0.19966442953020155,0.056040268456375754,0.19194630872483268,0.34798657718120857,0.18090298962782211,0.08724832214765119,0.021140939597315413,0.05369127516778513,0.2744966442953022,0.16308724832214783,0.3335570469798658,0.28456375838926184
"(230, 240]",0.22575250836120384,0.1294314381270907,0.288628762541806,0.33879598662207333,0.302219519610823,0.0809364548494983,0.026421404682274212,0.17491638795986655,0.42508361204013473,0.22408026755852847,0.35083612040133805,0.29096989966555137
"(240, 250]",0.25100671140939573,0.06778523489932896,0.25469798657718107,0.32516778523489887,0.24527150701647413,0.21342281879194666,0.08624161073825506,0.15604026845637636,0.3365771812080538,0.2607382550335577,0.4315436241610745,0.28355704697986567
"(250, 260]",0.24515050167224092,0.02909698996655516,0.23143812709030093,0.3528428093645487,0.20188507145028908,0.15551839464883013,0.08829431438127101,0.13612040133779316,0.34113712374581945,0.18628762541806052,0.311371237458194,0.28260869565217334
"(260, 270]",0.1489932885906044,0.06979865771812088,0.21510067114094014,0.33087248322147655,0.3255033557046976,0.05167785234899321,0.10906040268456374,0.10335570469798677,0.3412751677852347,0.2553691275167785,0.3026845637583895,0.27818791946308713
"(270, 280]",0.19530201342281892,0.16711409395973179,0.1100671140939597,0.2909395973154362,0.27882855399633905,0.1325503355704701,0.19664429530201416,0.15771812080536968,0.24798657718120865,0.3107382550335565,0.29060402684563774,0.16409395973154406
