Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 10]",0.10503355704697993,0.13993288590604067,0.08907870652837091,0.10006101281269067,0.03392990305741977,0.11774744027303803,0.07718120805369125,0.11946308724832239,0.03389261744966439,0.001342281879194631,0.07147651006711417,0.06006711409395962
"(10, 20]",0.09899328859060434,0.11174496644295354,0.02837095790115924,0.10494203782794383,0.12714392244593595,0.09932885906040281,0.12599145820622365,0.11610738255033594,0.10637583892617458,0.10033557046979859,0.1060402684563759,0.04999999999999993
"(20, 30]",0.08489932885906054,0.09630872483221489,0.06497864551555833,0.03660768761439905,0.19612229679343782,0.1332214765100674,0.05582672361195858,0.1483221476510071,0.10302013422818798,0.150335570469799,0.0926174496644294,0.07080536912751682
"(30, 40]",0.12675585284280977,0.17257525083612088,0.04530252356339326,0.11644876862268193,0.10516536603493098,0.14949832775919786,0.08756460930373994,0.13177257525083652,0.14381270903010068,0.12976588628762564,0.059197324414715695,0.04782608695652164
"(40, 50]",0.09463087248322165,0.15536912751677878,0.08816351433801106,0.05613178767541198,0.10850111856823239,0.16476510067114147,0.12782184258694354,0.09832214765100679,0.09697986577181227,0.1288590604026847,0.03657718120805366,0.08053691275167787
"(50, 60]",0.14597315436241617,0.17348993288590697,0.05857230018303854,0.08541793776693113,0.14466815809097663,0.09362416107382576,0.08846857840146444,0.10536912751677843,0.028523489932885865,0.13221476510067162,0.09328859060402692,0.09127516778523487
"(60, 70]",0.14147157190635481,0.15585284280936504,0.04439039221647925,0.05199148677409553,0.17911557041991838,0.13444816053511743,0.10094253572514433,0.07023411371237447,0.021739130434782594,0.15050167224080285,0.03478260869565211,0.15016722408026775
"(70, 80]",0.11644295302013469,0.15000000000000036,0.08541793776693091,0.04667480170835882,0.08799403430275896,0.20067114093959768,0.10311165344722412,0.11644295302013428,0.0151006711409396,0.1302013422818796,0.06711409395973156,0.10939597315436259
"(80, 90]",0.10267558528428106,0.10369127516778545,0.014338010982306278,0.0988407565588774,0.08090976882923172,0.09362416107382561,0.07870652837095796,0.06208053691275169,0.019798657718120807,0.0949664429530203,0.10134228187919474,0.03355704697986571
"(90, 100]",0.12181208053691296,0.04113712374581935,0.0580723624201886,0.14563697172392848,0.06800445930880702,0.046488294314381215,0.09972636059592585,0.1040133779264215,0.006688963210702341,0.06856187290969905,0.07056856187290973,0.0836120401337794
"(100, 110]",0.24630872483221458,0.005033557046979867,0.06985967053081149,0.05887736424649185,0.10589112602535392,0.02885906040268452,0.04636973764490546,0.03825503355704692,0.05738255033557043,0.020134228187919462,0.13120805369127547,0.04161073825503349
"(110, 120]",0.08762541806020083,0.004013377926421405,0.012769838856795375,0.07266646397081185,0.12486064659977678,0.07892976588628768,0.036181210094253624,0.029431438127090263,0.08829431438127106,0.0321070234113712,0.10167224080267574,0.018729096989966557
"(120, 130]",0.1533557046979868,0.0033557046979865767,0.010677242220866379,0.03843807199511902,0.19202087994034342,0.16308724832214794,0.04453935326418554,0.049999999999999906,0.11375838926174536,0.020469798657718103,0.062080536912751595,0.03355704697986571
"(130, 140]",0.1593959731543626,0.047315436241610685,0.03569249542403909,0.11073825503355697,0.08351976137211013,0.1677852348993295,0.0912141549725443,0.19832214765100717,0.08187919463087248,0.03624161073825497,0.03322147651006707,0.11711409395973162
"(140, 150]",0.15117056856187322,0.07725752508361204,0.01611432046214654,0.09425357251444216,0.02972872538089929,0.12976588628762575,0.12344177561568882,0.08294314381270916,0.07257525083612043,0.0321070234113712,0.05050167224080258,0.08628762541806022
"(150, 160]",0.20100671140939613,0.011409395973154365,0.01921903599755948,0.06558877364246501,0.09060402684563734,0.11644295302013448,0.09823062843197077,0.10067114093959745,0.031208053691275148,0.08489932885906067,0.03456375838926169,0.05100671140939589
"(160, 170]",0.09899328859060416,0.02785234899328857,0.019829164124466128,0.1287370347773036,0.1260253542132736,0.10704697986577197,0.07413056741915816,0.08322147651006723,0.011744966442953027,0.06912751677852352,0.08120805369127504,0.0694630872483223
"(170, 180]",0.12775919732441496,0.10100334448160564,0.02371541501976283,0.15110975980541227,0.12857673727238925,0.08628762541806034,0.04104591061112808,0.028093645484949793,0.08963210702341137,0.016053511705685614,0.06454849498327755,0.013377926421404689
"(180, 190]",0.07315436241610736,0.13489932885906045,0.04728492983526549,0.12111043319097073,0.07643549589858295,0.0721476510067115,0.07291031116534463,0.018456375838926165,0.04228187919463083,0.032550335570469754,0.046308724832214675,0.031543624161073806
"(190, 200]",0.131543624161074,0.26140939597315416,0.041183648566198945,0.05399633923123875,0.04735272184936605,0.04899328859060391,0.0796217205613178,0.05838926174496636,0.11040268456375876,0.021140939597315413,0.08489932885906055,0.008724832214765103
"(200, 210]",0.08193979933110379,0.14448160535117116,0.024323502584372138,0.04864700516874439,0.13638052768487555,0.11906354515050177,0.07661903314077229,0.07290969899665567,0.04782608695652165,0.032775919732441434,0.06220735785953176,0.07692307692307707
