Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity
"(0, 10]",0.0788590604026847,0.12416107382550357,0.0375838926174496,0.056711409395973064,0.07718120805369137,0.09093959731543622,0.21275167785234958,0.0030201342281879194,0.1463087248322153,0.10234899328859084,0.054208754208754116,0.028523489932885907,0.040939597315436164,0.4052945563012679
"(10, 20]",0.07550335570469796,0.04731543624161064,0.08322147651006727,0.0,0.03724832214765096,0.08624161073825534,0.29496644295302027,0.0174496644295302,0.11812080536912767,0.10134228187919475,0.042953020134228116,0.05503355704697981,0.007046979865771814,0.40604026845637586
"(20, 30]",0.11476510067114097,0.08892617449664435,0.09026845637583897,0.007046979865771814,0.06778523489932879,0.09496644295302045,0.11946308724832258,0.009731543624161076,0.19429530201342288,0.15704697986577218,0.03422818791946302,0.06442953020134227,0.0,0.4630872483221483
"(30, 40]",0.17157190635451533,0.039464882943143764,0.11337792642140472,0.0,0.02107023411371236,0.14548494983277654,0.10434782608695684,0.0,0.1274247491638797,0.08729096989966584,0.01404682274247492,0.09565217391304355,0.0030100334448160534,0.41917502787068095
"(40, 50]",0.0654362416107383,0.13355704697986606,0.05100671140939587,0.06736111111111115,0.016107382550335565,0.12080536912751692,0.16241610738255077,0.0036912751677852344,0.01610738255033557,0.11040268456375872,0.031208053691275148,0.0785234899328861,0.03758389261744962,0.4243102162565244
"(50, 60]",0.1634228187919466,0.13087248322147696,0.1399328859060404,0.0,0.03657718120805362,0.1808724832214772,0.09630872483221482,0.0,0.09295302013422842,0.08187919463087265,0.03859060402684559,0.1476510067114096,0.09832214765100686,0.2941834451901571
"(60, 70]",0.13545150501672287,0.053177257525083496,0.09799331103678927,0.03277591973244142,0.1130434782608697,0.06655518394648828,0.04548494983277583,0.0,0.04816053511705677,0.07558528428093655,0.0779264214046822,0.09531772575250855,0.057190635451505024,0.4009661835748794
"(70, 80]",0.03355704697986575,0.08053691275167793,0.09832214765100689,0.0030201342281879194,0.10738255033557087,0.0721476510067114,0.21845637583892616,0.0,0.014429530201342284,0.030872483221476465,0.028187919463087206,0.060402684563758344,0.08053691275167799,0.25577926920208854
"(80, 90]",0.017449664429530196,0.08859060402684575,0.08288590604026855,0.0010067114093959733,0.048322147651006626,0.09697986577181246,0.230536912751678,0.0006711409395973155,0.03779264214046817,0.04581939799331095,0.0345637583892617,0.05402684563758382,0.1486577181208058,0.40865026099925505
"(90, 100]",0.04749163879598654,0.16655518394648872,0.016387959866220738,0.008695652173913045,0.04515050167224071,0.0862876254180603,0.20869565217391367,0.014715719063545152,0.11275167785234931,0.03255033557046978,0.042140468227424656,0.06956521739130433,0.07424749163879599,0.33927907840951294
"(100, 110]",0.02986577181208052,0.10939597315436268,0.007046979865771812,0.00771812080536913,0.07516778523489949,0.12718120805369165,0.27013422818791977,0.0,0.15000000000000024,0.0,0.06845637583892615,0.11711409395973202,0.16946308724832257,0.4571215510812831
"(110, 120]",0.008695652173913047,0.11638795986622101,0.018729096989966543,0.01939799331103678,0.11939799331103708,0.12976588628762575,0.18060200668896387,0.0,0.07458193979933116,0.0,0.029431438127090263,0.09565217391304374,0.13277591973244168,0.44370122630992165
"(120, 130]",0.04966442953020132,0.019127516778523476,0.05302013422818786,0.009731543624161077,0.04966442953020123,0.14261744966442985,0.09026845637583918,0.0,0.1496644295302018,0.019463087248322145,0.04362416107382541,0.13523489932885946,0.07181208053691276,0.28337061894108995
"(130, 140]",0.09697986577181211,0.0855704697986578,0.04932885906040259,0.012416107382550341,0.07449664429530208,0.057718120805369075,0.04194630872483217,0.0036912751677852353,0.14496644295302064,0.0,0.05872483221476503,0.1389261744966447,0.10939597315436261,0.4310216256524977
"(140, 150]",0.05551839464882934,0.008695652173913047,0.03779264214046815,0.0,0.052508361204013254,0.14080267558528478,0.08394648829431456,0.05752508361204006,0.06387959866220731,0.0,0.0802675585284282,0.1394648829431442,0.07725752508361194,0.48606465997770404
