Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity
"(0, 10]",0.07785234899328877,0.022818791946308703,0.04798657718120796,0.04496644295302003,0.15000000000000013,0.020553691275167787,0.0026845637583892616,0.0070469798657718154,0.03389261744966437,0.022558922558922542,0.03299663299663294,0.08791946308724864,0.06476510067114088,0.0104399701715138,0.07792692020879924
"(10, 20]",0.07684563758389278,0.047986577181207975,0.027516778523489906,0.0,0.22516778523489941,0.020134228187919462,0.03187919463087243,0.00771812080536913,0.017449664429530193,0.03791946308724826,0.017785234899328848,0.1439597315436246,0.12651006711409432,0.0,0.09731543624161058
"(20, 30]",0.04765100671140931,0.013422818791946315,0.0,0.0010067114093959733,0.1164429530201345,0.0,0.02785234899328856,0.0073825503355704715,0.013422818791946315,0.01979865771812079,0.0050335570469798654,0.06711409395973147,0.11677852348993306,0.0,0.07233407904548829
"(30, 40]",0.00568561872909699,0.030100334448160487,0.004013377926421404,0.006688963210702343,0.06120401337792632,0.005434782608695652,0.00334448160535117,0.0023411371237458192,0.030769230769230726,0.03913043478260862,0.0578595317725752,0.02374581939799328,0.0665551839464883,0.02229654403567445,0.07134894091415814
"(40, 50]",0.011409395973154369,0.00033557046979865775,0.0010416666666666669,0.006250000000000002,0.015436241610738253,0.03565436241610738,0.013087248322147658,0.019798657718120793,0.02953020134228184,0.001342281879194631,0.021476510067114075,0.06308724832214752,0.038590604026845575,0.0003728560775540641,0.15063385533184215
"(50, 60]",0.00906040268456376,0.04597315436241603,0.0046979865771812086,0.008389261744966445,0.05134228187919454,0.010486577181208054,0.014765100671140941,0.007382550335570473,0.11006711409395989,0.004026845637583892,0.0036912751677852353,0.08993288590604046,0.010402684563758395,0.0037285607755406422,0.137956748695004
"(60, 70]",0.02274247491638794,0.032775919732441414,0.0003344481605351171,0.030769230769230736,0.023076923076923047,0.001254180602006689,0.0006688963210702342,0.00568561872909699,0.10167224080267581,0.011705685618729103,0.02441471571906353,0.028093645484949817,0.03277591973244142,0.005945745076179861,0.19175027870680073
"(70, 80]",0.03724832214765094,0.0721476510067114,0.03892617449664421,0.028859060402684534,0.012751677852349,0.00041946308724832214,0.03993288590604018,0.0033557046979865767,0.049328859060402595,0.0050335570469798654,0.014093959731543627,0.011744966442953026,0.03322147651006706,0.0029828486204325137,0.12975391498881422
"(80, 90]",0.006375838926174498,0.06409395973154358,0.016107382550335572,0.017449664429530193,0.019127516778523486,0.0,0.04932885906040258,0.011744966442953024,0.0882943143812712,0.00939597315436242,0.012080536912751684,0.061073825503355654,0.043288590604026775,0.0,0.1405667412378823
"(90, 100]",0.029765886287625384,0.07826086956521741,0.0016722408026755853,0.03143812709030096,0.0491638795986621,0.0008361204013377926,0.061872909698996635,0.0013377926421404684,0.11442953020134233,0.01404682274247492,0.0026755852842809363,0.040468227424749086,0.010033444816053515,0.0,0.14121144555927162
"(100, 110]",0.07684563758389266,0.054362416107382454,0.004697986577181209,0.006375838926174498,0.025167785234899317,0.0016778523489932886,0.026510067114093944,0.0046979865771812086,0.09731543624161104,0.012080536912751684,0.044295302013422716,0.07583892617449674,0.0768456375838926,0.0011185682326621924,0.149888143176734
"(110, 120]",0.11170568561872943,0.042140468227424656,0.04381270903010026,0.006354515050167226,0.06287625418060203,0.0,0.04347826086956514,0.018394648829431426,0.05384615384615372,0.02709030100334445,0.07324414715719074,0.17525083612040135,0.12842809364548516,0.006688963210702343,0.17985878855444115
"(120, 130]",0.07751677852349004,0.035906040268456334,0.001342281879194631,0.011744966442953026,0.012416107382550343,0.0,0.025838926174496617,0.007046979865771814,0.029530201342281844,0.027516778523489896,0.07684563758389258,0.1758389261744971,0.1298657718120809,0.09321401938851583,0.15436241610738263
"(130, 140]",0.04597315436241603,0.0174496644295302,0.00033557046979865775,0.03255033557046974,0.006711409395973156,0.0,0.010738255033557052,0.05302013422818781,0.0030201342281879194,0.036241610738254985,0.08389261744966446,0.19060402684563854,0.12382550335570508,0.016032811334824756,0.043251304996271354
"(140, 150]",0.05183946488294304,0.04916387959866213,0.0006688963210702342,0.022742474916387947,0.004347826086956522,0.0,0.026421404682274236,0.020066889632107007,0.01070234113712375,0.03612040133779261,0.025083612040133763,0.023411371237458185,0.06287625418060203,0.00037160906726124113,0.043478260869565154
"(150, 160]",0.013422818791946315,0.011744966442953026,0.005369127516778525,0.012080536912751684,0.004362416107382551,0.0,0.01711409395973154,0.005704697986577183,0.0060402684563758404,0.0828859060402686,0.013087248322147658,0.058053691275167775,0.05402684563758379,0.0,0.09917971662938087
"(160, 170]",0.02315436241610737,0.009731543624161076,0.022147651006711386,0.001342281879194631,0.02080536912751676,0.00964765100671141,0.0,0.02080536912751677,0.001342281879194631,0.06744966442953028,0.022483221476510055,0.0828859060402685,0.056040268456375754,0.008948545861297542,0.035421327367636056
