Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity
"(0, 10]",0.008053691275167786,0.027516778523489896,0.07483221476510073,0.017449664429530193,0.002013422818791946,0.0359060402684563,0.060029828486204174,0.1170768083519761,0.06912751677852341,0.04276094276094267,0.022147651006711393,0.0030201342281879194,0.07315436241610751,0.11782252050708406,0.010067114093959734
"(10, 20]",0.0026845637583892616,0.042617449664429444,0.0932885906040268,0.11006711409395999,0.022147651006711386,0.0382550335570469,0.10589112602535396,0.051081282624906674,0.06241610738255035,0.03389261744966438,0.056375838926174475,0.0,0.008724832214765103,0.05741983594332575,0.023825503355704682
"(20, 30]",0.0251677852348993,0.02382550335570468,0.0953020134228189,0.0436241610738254,0.03154362416107379,0.02181208053691273,0.10141685309470516,0.05294556301267701,0.04127516778523481,0.0060402684563758404,0.09328859060402696,0.01778523489932885,0.009731543624161077,0.10589112602535398,0.02013422818791945
"(30, 40]",0.003678929765886287,0.018060200668896312,0.08327759197324418,0.05451505016722397,0.03143812709030095,0.058193979933110325,0.11780007432181347,0.08361204013377904,0.06722408026755851,0.005016722408026757,0.04648829431438117,0.04648829431438118,0.03812709030100328,0.11296915644741723,0.0722408026755853
"(40, 50]",0.01879194630872482,0.008389261744966446,0.0486577181208053,0.06458333333333334,0.00771812080536913,0.009731543624161077,0.13161819537658484,0.03803131991051446,0.02785234899328855,0.03221476510067109,0.03355704697986574,0.004362416107382551,0.022483221476510044,0.04138702460850104,0.07785234899328863
"(50, 60]",0.025838926174496617,0.009731543624161077,0.03859060402684563,0.024832214765100644,0.006711409395973156,0.06006711409395968,0.11185682326621908,0.008575689783743477,0.07013422818791946,0.04463087248322139,0.07114093959731549,0.010402684563758395,0.0,0.10589112602535393,0.15134228187919538
"(60, 70]",0.018060200668896312,0.10802675585284285,0.021404682274247484,0.0702341137123747,0.014715719063545154,0.05317725752508348,0.11148272017837214,0.030100334448160487,0.06923076923076925,0.07892976588628779,0.07926421404682278,0.011371237458193986,0.030434782608695626,0.20958751393534034,0.10969899665551865
"(70, 80]",0.01677852348993288,0.038590604026845575,0.03590604026845634,0.03053691275167781,0.020134228187919462,0.02449664429530198,0.1040268456375836,0.12378821774794957,0.025503355704697965,0.002013422818791946,0.0285234899328859,0.05771812080536909,0.02348993288590601,0.16293810589112637,0.11208053691275184
"(80, 90]",0.0882550335570473,0.004362416107382551,0.01375838926174497,0.010402684563758393,0.0073825503355704715,0.01644295302013423,0.0928411633109617,0.010812826249067863,0.08193979933110372,0.0006711409395973155,0.001342281879194631,0.012080536912751684,0.08120805369127514,0.13832960477255798,0.10973154362416132
"(90, 100]",0.07725752508361203,0.04280936454849491,0.023745819397993282,0.0023411371237458192,0.021739130434782594,0.033110367892976555,0.06205871423262711,0.0011148272017837235,0.05302013422818785,0.0006688963210702342,0.0117056856187291,0.01505016722408027,0.08193979933110387,0.10182088442957984,0.10936454849498328
"(100, 110]",0.058053691275167706,0.0345637583892617,0.062416107382550316,0.00771812080536913,0.02885906040268452,0.005369127516778525,0.03952274422073071,0.008948545861297542,0.06476510067114097,0.038255033557046896,0.04060402684563759,0.008724832214765103,0.08154362416107393,0.26472781506338566,0.08053691275167778
"(110, 120]",0.1227424749163882,0.08795986622073616,0.04916387959866211,0.048160535117056764,0.00334448160535117,0.05117056856187283,0.026012634708286853,0.001858045336306206,0.12876254180602034,0.036120401337792575,0.042809364548494884,0.021739130434782598,0.012374581939799338,0.19323671497584582,0.04983277591973232
"(120, 130]",0.01946308724832213,0.07046979865771817,0.045302013422818706,0.001342281879194631,0.01845637583892617,0.08422818791946318,0.02982848620432512,0.009694258016405671,0.012080536912751683,0.0,0.07718120805369137,0.013087248322147658,0.05100671140939586,0.16144668158090983,0.08288590604026852
"(130, 140]",0.01979865771812081,0.05906040268456374,0.046308724832214695,0.0006711409395973155,0.043288590604026754,0.008724832214765103,0.0797912005965695,0.0014914243102162564,0.02785234899328856,0.011409395973154369,0.038926174496644234,0.014093959731543627,0.013422818791946315,0.13870246085011173,0.06375838926174499
"(140, 150]",0.011036789297658868,0.02040133779264214,0.024080267558528403,0.0030100334448160534,0.018729096989966543,0.08996655518394654,0.0955035302861387,0.037532515793385283,0.0484949832775919,0.009698996655518396,0.053846153846153745,0.07959866220735794,0.021404682274247477,0.05574136008918606,0.017056856187290977
