Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 10]",0.011728395061728394,0.024100061012812674,0.007931665649786453,0.09451901565995526,0.131543624161074,0.05369127516778512,0.08456375838926172,0.0433190970103722,0.03456375838926172,0.018791946308724827,0.11879194630872526,0.06275167785234896
"(10, 20]",0.08791946308724843,0.0256253813300793,0.007321537522879806,0.12975391498881414,0.17449664429530234,0.0228187919463087,0.10872483221476544,0.014643075045759603,0.11208053691275177,0.052348993288590516,0.13926174496644342,0.024496644295302017
"(20, 30]",0.053355704697986485,0.009762050030506404,0.039963392312385625,0.1277964205816553,0.12583892617449718,0.021812080536912727,0.08422818791946325,0.05735204392922533,0.018791946308724824,0.04060402684563755,0.07852348993288599,0.001342281879194631
"(30, 40]",0.00568561872909699,0.005472788081483733,0.021283064761325618,0.1822742474916391,0.10468227424749182,0.03177257525083609,0.04749163879598655,0.06324110671936763,0.05719063545150496,0.06989966555183948,0.10802675585284334,0.0
"(40, 50]",0.00033557046979865775,0.0594874923733986,0.0,0.1649888143176734,0.017114093959731545,0.04597315436241603,0.04999999999999992,0.08419768151311802,0.05838926174496636,0.06778523489932888,0.16375838926174519,0.039932885906040196
"(50, 60]",0.04328859060402678,0.06192800488102507,0.0030506406345332526,0.12220357941834459,0.0483221476510066,0.17449664429530237,0.09093959731543616,0.11104331909701066,0.04999999999999993,0.049664429530201254,0.12617449664429586,0.07315436241610734
"(60, 70]",0.10434782608695681,0.005776831863788385,0.0,0.10869565217391276,0.11772575250836138,0.1458193979933115,0.13578595317725783,0.1261781696564308,0.08127090301003359,0.09632107023411375,0.11371237458194032,0.0531772575250835
"(70, 80]",0.001342281879194631,0.027760829774252583,0.0,0.11045861297539158,0.15939597315436252,0.1540268456375843,0.05738255033557043,0.08816351433801098,0.0681208053691275,0.1104026845637584,0.10872483221476555,0.020469798657718103
"(80, 90]",0.0026755852842809363,0.0006080875646093037,0.0,0.08277591973244135,0.15752508361204057,0.1254180602006693,0.022408026755852833,0.09151921903599768,0.10469798657718112,0.05217391304347817,0.09865771812080573,0.01879194630872483
"(90, 100]",0.0,0.004575960951799877,0.003355704697986578,0.1286353467561521,0.048322147651006654,0.09026845637583915,0.03355704697986573,0.1647917300091217,0.0983277591973246,0.13892617449664457,0.10769230769230825,0.02207357859531771
