Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 10]",0.019753086419753093,0.17777777777777787,0.001342281879194631,0.04832214765100662,0.21778523489932883,0.11342281879194653,0.012751677852348998,0.0060402684563758404,0.004362416107382551,0.3694630872483223,0.03255033557046975,0.1104026845637586
"(10, 20]",0.0010067114093959733,0.05167785234899319,0.0,0.02348993288590602,0.11912751677852361,0.09395973154362441,0.005369127516778525,0.01711409395973154,0.00771812080536913,0.2312080536912759,0.010402684563758395,0.14530201342281926
"(20, 30]",0.0016778523489932886,0.045973154362416044,0.0036912751677852344,0.013758389261744974,0.002013422818791946,0.06577181208053685,0.019798657718120796,0.002348993288590604,0.07885906040268462,0.19832214765100684,0.026510067114093944,0.206711409395973
"(30, 40]",0.0852842809364549,0.017391304347826087,0.007692307692307694,0.017391304347826084,0.013377926421404682,0.019732441471571903,0.09096989966555201,0.006354515050167226,0.08060200668896335,0.15652173913043535,0.051170568561872826,0.12742474916388039
"(40, 50]",0.023154362416107355,0.01375838926174497,0.0,0.07953020134228185,0.17046979865771839,0.045973154362416044,0.07919463087248343,0.0030201342281879194,0.06375838926174492,0.08489932885906043,0.028523489932885893,0.1395973154362422
"(50, 60]",0.0006711409395973155,0.09194630872483261,0.0,0.08724832214765094,0.16845637583892636,0.05805369127516776,0.06073825503355703,0.006040268456375841,0.013422818791946315,0.09563758389261774,0.07315436241610745,0.15033557046979887
"(60, 70]",0.0003344481605351171,0.029765886287625373,0.0,0.023411371237458175,0.15050167224080346,0.07826086956521748,0.07391304347826076,0.004347826086956522,0.010033444816053515,0.05752508361204003,0.03244147157190632,0.1113712374581942
"(70, 80]",0.0,0.014093959731543627,0.0006711409395973155,0.01778523489932885,0.16409395973154417,0.08020134228187928,0.05973154362416102,0.0016778523489932886,0.04127516778523486,0.19295302013422896,0.05100671140939587,0.040939597315436164
"(80, 90]",0.004347826086956522,0.04849498327759196,0.0,0.018729096989966543,0.16086956521739154,0.05852842809364544,0.09665551839464882,0.008724832214765103,0.02583892617449663,0.27214765100671123,0.03277591973244145,0.011409395973154369
"(90, 100]",0.0345637583892617,0.06644295302013424,0.0,0.002013422818791946,0.11342281879194649,0.1144295302013425,0.11275167785234921,0.030769230769230733,0.010702341137123749,0.19765886287625437,0.025167785234899327,0.037123745819397924
"(100, 110]",0.0050335570469798654,0.04093959731543619,0.0036912751677852344,0.03489932885906034,0.05167785234899321,0.04697986577181201,0.025838926174496617,0.00771812080536913,0.014429530201342284,0.13758389261744974,0.02516778523489931,0.0016778523489932886
"(110, 120]",0.0030100334448160534,0.02207357859531771,0.0070234113712374585,0.009364548494983282,0.042474916387959825,0.07190635451505022,0.02742474916387958,0.009698996655518398,0.021070234113712366,0.14648829431438165,0.03311036789297655,0.1036789297658866
"(120, 130]",0.04127516778523484,0.07315436241610758,0.032550335570469775,0.030872483221476472,0.009395973154362422,0.07583892617449668,0.02416107382550335,0.002013422818791946,0.08993288590604025,0.1845637583892623,0.006375838926174497,0.09395973154362447
"(130, 140]",0.026174496644295275,0.07483221476510074,0.07751677852349013,0.043288590604026775,0.019127516778523476,0.030201342281879172,0.0036912751677852344,0.00771812080536913,0.05738255033557039,0.18825503355704776,0.0006711409395973155,0.0751677852348994
"(140, 150]",0.02575250836120399,0.029096989966555135,0.03913043478260862,0.02307692307692305,0.058193979933110304,0.07859531772575257,0.04548494983277586,0.004682274247491639,0.030769230769230736,0.13244147157190697,0.02876254180602005,0.17023411371237457
