Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(0, 10]",0.02716049382716049,0.007046979865771814,0.06006711409395969,0.17785234899328897,0.1046979865771815,0.1429530201342284,0.15604026845637617,0.1483967188665177,0.1295302013422821,0.05167785234899322,0.05805369127516774,0.01711409395973154
"(10, 20]",0.0536912751677851,0.040939597315436164,0.022483221476510048,0.17651006711409425,0.07315436241610751,0.1513422818791951,0.12348993288590644,0.16890380313199121,0.08221476510067127,0.11342281879194668,0.0825503355704698,0.02181208053691274
"(20, 30]",0.0523489932885905,0.0030201342281879194,0.042953020134228095,0.1164429530201345,0.08154362416107393,0.1151006711409397,0.13657718120805407,0.10253542132736737,0.07483221476510075,0.056040268456375726,0.056375838926174454,0.00033557046979865775
"(30, 40]",0.031103678929765836,0.019732441471571893,0.06956521739130436,0.08193979933110396,0.08193979933110382,0.13311036789297684,0.09163879598662213,0.2601263470828698,0.12073578595317759,0.030434782608695615,0.03043478260869561,0.020401337792642138
"(40, 50]",0.002348993288590604,0.01543624161073826,0.09295302013422821,0.10939597315436278,0.08489932885906033,0.06409395973154365,0.11778523489932907,0.22483221476510135,0.10536912751677892,0.08355704697986574,0.032550335570469754,0.0
"(50, 60]",0.04161073825503348,0.026510067114093924,0.04362416107382545,0.12382550335570486,0.13221476510067182,0.06912751677852359,0.05906040268456369,0.1815809097688295,0.13523489932885965,0.10234899328859066,0.07651006711409392,0.01677852348993288
"(60, 70]",0.008695652173913047,0.006020066889632107,0.04849498327759189,0.16488294314381272,0.10568561872909708,0.08394648829431439,0.057525083612040034,0.11631363805276837,0.06354515050167227,0.11705685618729128,0.036454849498327724,0.053177257525083475
"(70, 80]",0.03187919463087245,0.0540268456375838,0.01375838926174497,0.09530201342281876,0.16308724832214816,0.09328859060402692,0.06409395973154362,0.017897091722595074,0.10604026845637604,0.12885906040268486,0.07114093959731556,0.0328859060402684
"(80, 90]",0.04515050167224074,0.049498327759197214,0.06822742474916396,0.090969899665552,0.12508361204013393,0.059866220735785874,0.07953020134228204,0.1085011185682325,0.10973154362416115,0.06354515050167223,0.026086956521739122,0.01073825503355705
"(90, 100]",0.051677852348993164,0.05738255033557038,0.064765100671141,0.1590604026845642,0.0953020134228191,0.03859060402684562,0.008026755852842812,0.034931252322556616,0.06555183946488291,0.09328859060402703,0.03489932885906037,0.004682274247491639
"(100, 110]",0.026510067114093924,0.07181208053691286,0.07046979865771824,0.1597315436241619,0.06409395973154365,0.07818791946308747,0.0345637583892617,0.07643549589858296,0.07684563758389257,0.09328859060402707,0.09261744966442972,0.0
"(110, 120]",0.007357859531772576,0.1006688963210707,0.07859531772575257,0.11939799331103687,0.03311036789297655,0.08428093645484942,0.0,0.08101077666295037,0.1719063545150507,0.06321070234113715,0.0806020066889633,0.060200668896320975
"(120, 130]",0.001342281879194631,0.01879194630872482,0.1567114093959737,0.21442953020134267,0.1607382550335574,0.02315436241610736,0.011409395973154369,0.17785234899328908,0.10570469798657722,0.029865771812080503,0.019798657718120796,0.0016778523489932886
"(130, 140]",0.010402684563758395,0.03758389261744959,0.08624161073825512,0.2325503355704701,0.09026845637583904,0.02852348993288589,0.028187919463087213,0.06338553318419077,0.0805369127516781,0.060738255033557016,0.07953020134228198,0.019798657718120803
"(140, 150]",0.009364548494983282,0.026086956521739098,0.0484949832775919,0.13411371237458233,0.14247491638796037,0.06856187290969915,0.02274247491638794,0.02192493496841323,0.12709030100334473,0.026086956521739115,0.12040133779264224,0.0
"(150, 160]",0.0026845637583892616,0.03892617449664422,0.08926174496644296,0.22046979865771832,0.11744966442953032,0.026845637583892582,0.11711409395973178,0.09582401193139428,0.11442953020134272,0.02181208053691273,0.03859060402684559,0.004026845637583893
"(160, 170]",0.008053691275167786,0.047651006711409316,0.14865771812080555,0.22483221476510015,0.10906040268456407,0.04429530201342274,0.08691275167785247,0.06263982102908267,0.0714765100671141,0.032550335570469775,0.04765100671140933,0.00033557046979865775
"(170, 180]",0.088628762541806,0.03946488294314379,0.1578595317725759,0.14949832775919764,0.18695652173913063,0.03946488294314374,0.04882943143812699,0.05871423262727601,0.1705685618729098,0.05685618729096983,0.10301003344481612,0.01973244147157189
"(180, 190]",0.008724832214765103,0.0016778523489932886,0.05167785234899325,0.18859060402684616,0.07718120805369141,0.09765100671140932,0.07953020134228203,0.040641312453392926,0.2114093959731546,0.04765100671140932,0.09530201342281892,0.023489932885906017
"(190, 200]",0.0010067114093959733,0.07348993288590619,0.017449664429530193,0.19395973154362403,0.16308724832214813,0.13624161073825528,0.018120805369127524,0.08016405667412362,0.14597315436241612,0.08959731543624155,0.0738255033557048,0.0577181208053691
"(200, 210]",0.004682274247491639,0.029765886287625373,0.11103678929765946,0.1571906354515055,0.1391304347826093,0.08227424749163897,0.0852842809364548,0.053140096618357426,0.16220735785953214,0.08160535117056855,0.056521739130434706,0.061204013377926435
"(210, 220]",0.014765100671140941,0.010738255033557052,0.10100671140939638,0.08892617449664439,0.20000000000000062,0.08422818791946321,0.17919463087248322,0.03318419090231167,0.19563758389261776,0.17013422818791957,0.039932885906040196,0.005033557046979866
