Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.23624161073825506,0.19026845637583925,0.5446308724832218,0.3912751677852349,0.3261744966442951,0.1338926174496648,0.31818181818181746,0.18187919463087243,0.12550335570469828,0.1513422818791948,0.35771812080536913,0.33624161073825487,0.5259259259259267,0.32919463087248313,0.16308724832214813,0.5046979865771816
"(10, 20]",0.3020134228187907,0.22416107382550335,0.5855704697986569,0.45704697986577175,0.21812080536912756,0.1248322147651007,0.29804758999389863,0.21040268456375893,0.2238255033557041,0.1439597315436242,0.4610738255033564,0.2647651006711401,0.428859060402685,0.20469798657718163,0.28187919463087235,0.5063758389261747
"(20, 30]",0.3919463087248323,0.2134228187919463,0.5342281879194624,0.4439597315436243,0.2781879194630874,0.2104026845637588,0.24496644295302042,0.19395973154362467,0.2338926174496644,0.11644295302013445,0.42214765100671076,0.2818791946308725,0.521812080536912,0.24697986577181222,0.2859060402684568,0.480536912751678
"(30, 40]",0.31605351170568574,0.10501672240802683,0.525752508361204,0.3394648829431439,0.3200668896321066,0.20401337792642163,0.38643964730921254,0.24581939799331076,0.29531772575250864,0.19464882943143832,0.4836120401337783,0.32073578595317653,0.4725752508361212,0.2020066889632111,0.14113712374581963,0.4892976588628764
"(40, 50]",0.3812080536912751,0.18456375838926195,0.4832214765100661,0.3318791946308727,0.12483221476510116,0.1067114093959734,0.28431970713849863,0.261409395973154,0.3057046979865769,0.14731543624161098,0.5181208053691273,0.3197986577181208,0.47818791946308775,0.17315436241610793,0.295973154362416,0.5456375838926159
"(50, 60]",0.3939597315436242,0.1214765100671145,0.6040268456375848,0.2691275167785231,0.25201342281879213,0.12382550335570496,0.27486272117144556,0.23557046979865773,0.3593959731543627,0.12550335570469834,0.4946308724832216,0.2855704697986573,0.41342281879194615,0.18859060402684608,0.21979865771812104,0.47651006711409444
"(60, 70]",0.46153846153846184,0.062207357859531645,0.6347826086956515,0.34280936454849514,0.28896321070234127,0.12642140468227434,0.31194892064457264,0.26020066889632126,0.3107023411371242,0.10836120401337813,0.5441471571906358,0.3287625418060209,0.432775919732441,0.21839464882943146,0.29933110367892996,0.3933110367892972
"(70, 80]",0.4610738255033555,0.23187919463087223,0.5875838926174488,0.43691275167785204,0.26275167785234915,0.11107382550335583,0.26388041488712644,0.11409395973154376,0.24697986577181172,0.21476510067114157,0.4412751677852346,0.40469798657718115,0.5218120805369123,0.24597315436241643,0.2942953020134233,0.4151006711409397
"(80, 90]",0.4551839464882946,0.16755852842809402,0.5672240802675581,0.3260869565217391,0.17458193979933173,0.1722408026755858,0.15893837705918284,0.1818791946308726,0.36622073578595343,0.16555183946488344,0.5593959731543627,0.34798657718120785,0.5438127090300999,0.15618729096990014,0.3498327759197327,0.41605351170568566
"(90, 100]",0.4832214765100678,0.14093959731543654,0.5922818791946305,0.24060402684563717,0.220805369127517,0.12214765100671164,0.15627850410459143,0.2086956521739135,0.3013422818791946,0.1771812080536921,0.5535117056856186,0.34247491638796007,0.5265100671140943,0.3281879194630871,0.2681208053691272,0.39798657718120833
"(100, 110]",0.4258389261744965,0.16946308724832274,0.5208053691275176,0.43288590604026844,0.19362416107382602,0.1181208053691277,0.13392312385600993,0.2167785234899332,0.363422818791946,0.18859060402684627,0.5939597315436238,0.4104026845637584,0.4946308724832217,0.2865771812080541,0.33389261744966436,0.4208053691275172
