Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.01864280387770319,0.05369127516778512,0.03892617449664423,0.3335570469798659,0.05738255033557044,0.033221476510067065,0.001342281879194631,0.020134228187919455,0.24720357941834473,0.3208053691275171,0.06744966442953017,0.07248322147651014,0.2138047138047144,0.11442953020134267,0.07281879194630864,0.10738255033557066
"(10, 20]",0.060029828486204195,0.10906040268456417,0.0862416107382551,0.23154362416107382,0.05872483221476508,0.00939597315436242,0.03154362416107377,0.02181208053691273,0.09395973154362393,0.3818791946308728,0.07080536912751681,0.05637583892617444,0.1697986577181211,0.1261744966442956,0.11912751677852368,0.07248322147651008
"(20, 30]",0.06338553318419074,0.11778523489932906,0.04429530201342274,0.21342281879194666,0.16006711409395985,0.022483221476510055,0.07416107382550342,0.02449664429530199,0.12826249067859816,0.27315436241610763,0.054697986577181106,0.07953020134228195,0.24093959731543632,0.12449664429530226,0.19832214765100692,0.05201342281879188
"(30, 40]",0.10367892976588601,0.13712374581939837,0.030100334448160505,0.2849498327759197,0.10802675585284303,0.008026755852842812,0.08595317725752498,0.03076923076923075,0.13972500929022671,0.22876254180602099,0.028093645484949824,0.1066889632107026,0.3167224080267552,0.1692307692307695,0.21304347826087003,0.0913043478260873
"(40, 50]",0.25018642803877766,0.055369127516778464,0.01241610738255034,0.19429530201342357,0.03926174496644289,0.029865771812080503,0.06912751677852348,0.016778523489932883,0.18381804623415368,0.24429530201342256,0.022147651006711393,0.08020134228187933,0.35033557046979846,0.14228187919463117,0.14563758389261805,0.08691275167785258
"(50, 60]",0.19798657718120832,0.09798657718120816,0.011073825503355708,0.11577181208053708,0.05805369127516768,0.011744966442953026,0.05906040268456373,0.023825503355704672,0.15883668903803175,0.3093959731543624,0.018791946308724827,0.08120805369127516,0.23791946308724823,0.2473154362416109,0.09563758389261764,0.11073825503355716
"(60, 70]",0.22482348569305122,0.05451505016722395,0.025418060200668877,0.26454849498327737,0.07190635451505023,0.01070234113712375,0.0695652173913043,0.0076923076923076945,0.2211073950204387,0.20401337792642144,0.005685618729096991,0.10133779264214081,0.2949832775919726,0.15551839464882977,0.13913043478260917,0.0973244147157192
"(70, 80]",0.16629381058911252,0.07483221476510057,0.010067114093959734,0.23892617449664458,0.15335570469798657,0.006375838926174498,0.15570469798657735,0.04093959731543618,0.29269202087994,0.4067114093959737,0.004362416107382551,0.13859060402684611,0.2241610738255033,0.1382550335570473,0.15436241610738297,0.07852348993288599
"(80, 90]",0.23151244890375375,0.17224080267558545,0.02374581939799331,0.25083612040133735,0.08528428093645489,0.04849498327759193,0.08996655518394665,0.02953020134228185,0.1735414344109998,0.285284280936455,0.02006688963210702,0.13557046979865803,0.2237458193979937,0.17023411371237496,0.1083612040133781,0.1441471571906359
"(90, 100]",0.19910514541387037,0.1640939597315437,0.07382550335570473,0.1902684563758393,0.05234899328859053,0.022147651006711393,0.011744966442953026,0.007692307692307694,0.20581655480984368,0.2285234899328857,0.007382550335570471,0.10000000000000006,0.22550335570469815,0.1956375838926175,0.08859060402684579,0.09765100671140936
"(100, 110]",0.1804623415361674,0.22651006711409366,0.015771812080536917,0.14194630872483238,0.06845637583892622,0.011409395973154369,0.06409395973154365,0.005369127516778524,0.26211782252050736,0.3255033557046973,0.022483221476510044,0.11912751677852387,0.24765100671140966,0.18255033557047015,0.07382550335570469,0.11140939597315457
"(110, 120]",0.12746191007060578,0.23311036789297687,0.05117056856187286,0.10903010033444835,0.031103678929765878,0.037123745819397924,0.09665551839464896,0.020401337792642138,0.1631363805276852,0.20367892976588658,0.03444816053511702,0.04916387959866209,0.15819397993311082,0.17558528428093717,0.0789297658862876,0.11471571906354529
"(120, 130]",0.05219985085756886,0.19865771812080593,0.0392617449664429,0.07617449664429544,0.12416107382550365,0.05302013422818784,0.059395973154362354,0.017449664429530196,0.20246085011185744,0.3651006711409398,0.05671140939597304,0.05570469798657709,0.26946308724832163,0.2057046979865773,0.16442953020134277,0.10872483221476534
"(130, 140]",0.1319910514541386,0.21006711409396003,0.04966442953020128,0.10302013422818815,0.11610738255033579,0.08322147651006717,0.06208053691275165,0.03322147651006707,0.18195376584638326,0.28255033557047027,0.06107382550335559,0.11577181208053713,0.23154362416107416,0.12953020134228235,0.05604026845637574,0.09496644295302017
"(140, 150]",0.20698625046451155,0.24548494983277602,0.017725752508361205,0.345484949832776,0.12173913043478299,0.02742474916387959,0.05418060200668885,0.0096989966555184,0.23485693050910486,0.32742474916387926,0.015384615384615389,0.06387959866220741,0.3297658862876257,0.06956521739130443,0.12107023411371239,0.105351170568562
"(150, 160]",0.21849366144668186,0.1348993288590608,0.019127516778523486,0.21375838926174526,0.07348993288590598,0.05268456375838913,0.0,0.0006711409395973155,0.22818791946308759,0.28959731543624073,0.09295302013422826,0.06140939597315437,0.3016778523489939,0.10033557046979878,0.07248322147651023,0.07751677852349002
"(160, 170]",0.20954511558538447,0.16946308724832296,0.008724832214765103,0.2667785234899334,0.07617449664429529,0.017785234899328848,0.028859060402684544,0.05771812080536907,0.1260253542132736,0.13892617449664463,0.07651006711409412,0.057046979865771744,0.16744966442953066,0.03926174496644288,0.08825503355704693,0.17953020134228204
"(170, 180]",0.14344109996283905,0.19063545150501704,0.06153846153846157,0.22909698996655495,0.0832775919732442,0.0464882943143812,0.04013377926421398,0.02675585284280936,0.18394648829431426,0.2822742474916385,0.010367892976588633,0.04949832775919726,0.3652173913043479,0.07257525083612029,0.07458193979933102,0.21505016722408055
