Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.18657718120805436,0.042281879194630806,0.24429530201342306,0.1221476510067115,0.0392617449664429,0.14932885906040289,0.17718120805369178,0.10906040268456385,0.1859060402684566,0.09630872483221486,0.11040268456375855,0.08993288590604027,0.1464646464646469,0.06296296296296287,0.19765100671140978,0.350335570469798
"(10, 20]",0.22885906040268514,0.1117449664429532,0.17382550335570515,0.15637583892617474,0.1318791946308728,0.05302013422818782,0.1983221476510072,0.09630872483221482,0.15234899328859083,0.07281879194630875,0.1305369127516782,0.03724832214765098,0.14966442953020181,0.14194630872483224,0.20469798657718188,0.39362416107382536
"(20, 30]",0.2023489932885908,0.012751677852348998,0.0654362416107382,0.06610738255033559,0.11979865771812108,0.07617449664429538,0.1379194630872485,0.15335570469798684,0.074496644295302,0.0768456375838926,0.20033557046979947,0.1073825503355707,0.12315436241610772,0.20369127516778576,0.2701342281879195,0.23187919463087284
"(30, 40]",0.2321070234113712,0.05150501672240791,0.04214046822742468,0.11739130434782633,0.06989966555183952,0.03143812709030097,0.13411371237458233,0.1311036789297664,0.1364548494983281,0.05183946488294304,0.11806020066889657,0.11304347826086979,0.12709030100334476,0.3086956521739131,0.27357859531772577,0.27357859531772644
"(40, 50]",0.2382550335570465,0.059060402684563765,0.10738255033557054,0.20000000000000015,0.0738255033557048,0.0446308724832214,0.08825503355704707,0.048993288590603944,0.20234899328859046,0.06040268456375838,0.11342281879194668,0.06241610738255028,0.14697986577181252,0.284228187919463,0.2842281879194629,0.35604026845637593
"(50, 60]",0.21174496644295301,0.09932885906040274,0.07181208053691275,0.22483221476510096,0.10771812080536934,0.07382550335570465,0.05302013422818781,0.027181208053691244,0.1909395973154371,0.04060402684563757,0.14832214765100712,0.07416107382550338,0.128859060402685,0.28657718120805364,0.26342281879194623,0.33221476510067116
"(60, 70]",0.1862876254180607,0.02842809364548492,0.09096989966555194,0.21137123745819428,0.03076923076923076,0.05083612040133771,0.09565217391304363,0.09765886287625421,0.21337792642140477,0.09397993311036802,0.13745819397993328,0.13010033444816085,0.23812709030100349,0.27424749163879614,0.20535117056856217,0.2729096989966558
"(70, 80]",0.22885906040268525,0.08993288590604036,0.06006711409395976,0.18187919463087307,0.05704697986577175,0.03120805369127511,0.1872483221476511,0.16174496644295336,0.15570469798657718,0.1342281879194636,0.11812080536912786,0.07046979865771817,0.3234899328859064,0.27651006711409437,0.28087248322147707,0.330536912751678
"(80, 90]",0.11739130434782619,0.040133779264214,0.04046822742474912,0.10334448160535137,0.06020066889632107,0.02508361204013376,0.16488294314381335,0.16006711409395993,0.286622073578595,0.17725752508361248,0.2324414715719067,0.11308724832214788,0.2732441471571908,0.33745819397993315,0.2334448160535123,0.30969899665551853
"(90, 100]",0.0748322147651007,0.05268456375838916,0.06208053691275173,0.11711409395973175,0.03557046979865767,0.06677852348993296,0.16812080536912777,0.17224080267558572,0.24228187919463107,0.1083892617449666,0.18288590604026891,0.1645484949832782,0.17281879194630945,0.21308724832214782,0.2177852348993291,0.3238255033557046
