Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.14328859060402707,0.0894854586129752,0.011073825503355708,0.033892617449664396,0.1808724832214773,0.06174496644295291,0.07680835197613704,0.07483221476510081,0.09530201342281895,0.3303797468354431,0.11856540084388183,0.08624161073825516,0.40771812080536945,0.3238255033557052,0.29865771812080544,0.056375838926174406
"(10, 20]",0.1375838926174501,0.13683818046234147,0.034228187919463034,0.06308724832214763,0.18489932885906055,0.04731543624161063,0.11036539895600281,0.10268456375838926,0.16442953020134277,0.2721476510067108,0.14765100671140954,0.09093959731543659,0.4597315436241611,0.3033557046979866,0.18422818791946388,0.0677852348993289
"(20, 30]",0.10906040268456398,0.22334079045488447,0.08255033557046985,0.030201342281879165,0.15906040268456426,0.01677852348993288,0.044369873228933564,0.10973154362416108,0.13355704697986606,0.20872483221476512,0.08791946308724849,0.039932885906040216,0.3664429530201347,0.2771812080536915,0.1818791946308733,0.13926174496644314
"(30, 40]",0.10000000000000023,0.22185061315496124,0.12876254180602068,0.03712374581939797,0.1919732441471577,0.03846153846153845,0.06354515050167209,0.20702341137123773,0.2284280936454855,0.20535117056856234,0.11939799331103734,0.04113712374581932,0.46923076923076956,0.3207357859531769,0.2351170568561876,0.09096989966555216
"(40, 50]",0.08825503355704713,0.10365398956002954,0.14597315436241637,0.23322147651006706,0.15671140939597347,0.10268456375838951,0.01752423564504101,0.1845637583892623,0.23691275167785267,0.2516778523489935,0.11879194630872511,0.018456375838926165,0.4057046979865771,0.29295302013422825,0.2000000000000004,0.11476510067114094
"(50, 60]",0.051677852348993185,0.07867263236390734,0.16879194630872524,0.25906040268456393,0.15134228187919493,0.0422818791946308,0.04511558538404169,0.18825503355704726,0.20100671140939652,0.21610738255033612,0.19060402684563782,0.016107382550335565,0.47818791946308775,0.38456375838926155,0.17751677852349054,0.09999999999999998
"(60, 70]",0.08628762541806022,0.16239316239316276,0.19364548494983327,0.21471571906354564,0.11806020066889655,0.1110367892976589,0.07357859531772559,0.18494983277592028,0.1725752508361213,0.1622073578595321,0.24013377926421436,0.06822742474916385,0.41638795986622085,0.3404682274247497,0.14949832775919733,0.10903010033444852
"(70, 80]",0.18758389261744982,0.14205816554809841,0.1942953020134234,0.23456375838926158,0.14664429530201378,0.0848993288590604,0.03653989560029824,0.10335570469798705,0.1520134228187925,0.13255033557047033,0.19429530201342327,0.047651006711409295,0.35503355704698,0.3127516778523485,0.09362416107382539,0.11711409395973162
"(80, 90]",0.04414715719063542,0.04325130499627134,0.1771812080536913,0.20570469798657737,0.1301003344481609,0.05451505016722402,0.034931252322556616,0.025083612040133756,0.15183946488294336,0.26354515050167254,0.19531772575250891,0.0816053511705686,0.4056856187290977,0.33846153846153854,0.10367892976588647,0.16053511705685639
"(90, 100]",0.04966442953020132,0.05611296915644735,0.1933110367892982,0.20836120401337863,0.12684563758389275,0.00939597315436242,0.01715137956748694,0.03557046979865767,0.28892617449664426,0.24362416107382573,0.05805369127516772,0.06442953020134227,0.38221476510067137,0.3285234899328854,0.20939597315436262,0.1181208053691279
"(100, 110]",0.09597315436241613,0.1211782252050709,0.1802013422818794,0.13288590604026893,0.12986577181208084,0.06208053691275171,0.0369127516778523,0.10402684563758392,0.24630872483221544,0.1298657718120807,0.180872483221477,0.0557046979865771,0.33993288590604037,0.3543624161073828,0.14261744966442974,0.18221476510067125
"(110, 120]",0.1678929765886291,0.06317354143441085,0.2595317725752506,0.2033444816053513,0.09096989966555195,0.056856187290969806,0.03641768859160157,0.1675585284280936,0.3016722408026756,0.21438127090301062,0.1404682274247495,0.037123745819397924,0.3535117056856193,0.29364548494983345,0.08227424749163882,0.1638795986622081
"(120, 130]",0.06946308724832215,0.06487695749440704,0.27449664429530124,0.23187919463087275,0.12785234899328884,0.08355704697986571,0.02460850111856821,0.13691275167785275,0.2902684563758389,0.10872483221476521,0.15033557046979915,0.041275167785234816,0.3459731543624165,0.3100671140939593,0.11812080536912763,0.07986577181208052
"(130, 140]",0.14563758389261788,0.06897837434750172,0.1463087248322152,0.26409395973154337,0.14295302013422864,0.048322147651006626,0.04287844891871733,0.08489932885906055,0.12919463087248334,0.1221476510067117,0.16308724832214802,0.07483221476510067,0.3305369127516783,0.20872483221476576,0.13557046979865814,0.032885906040268406
"(140, 150]",0.13812709030100367,0.0914158305462651,0.1852842809364553,0.24013377926421436,0.19464882943143824,0.10468227424749187,0.04496469713861013,0.10133779264214073,0.15785953177257553,0.10066889632107025,0.12341137123745838,0.07892976588628785,0.31806020066889595,0.3842809364548496,0.18127090301003385,0.07658862876254181
