Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.11879194630872526,0.036241610738255,0.09194630872483239,0.045973154362416,0.057046979865771716,0.038590604026845575,0.14664429530201342,0.062080536912751616,0.019798657718120793,0.17375093214019421,0.09463087248322152,0.06912751677852348,0.016438356164383557,0.11442953020134257,0.02751677852348992,0.0014914243102162564
"(10, 20]",0.10738255033557073,0.025838926174496627,0.10402684563758408,0.022147651006711393,0.058053691275167726,0.04664429530201335,0.12080536912751696,0.15973154362416098,0.01577181208053691,0.19202087994034375,0.2634228187919465,0.09865771812080565,0.01610738255033557,0.09463087248322162,0.027516778523489906,0.005219985085756899
"(20, 30]",0.1010067114093962,0.0,0.14295302013422884,0.1104026845637586,0.0882550335570471,0.026174496644295282,0.1308724832214768,0.27248322147650944,0.009060402684563762,0.14690529455630166,0.3063758389261747,0.05738255033557038,0.02382550335570468,0.09362416107382557,0.01644295302013423,0.0
"(30, 40]",0.11839464882943149,0.002006688963210702,0.10501672240802687,0.05953177257525079,0.119063545150502,0.07391304347826097,0.08327759197324411,0.2591973244147158,0.00836120401337793,0.12225938312894812,0.16321070234113752,0.0424749163879598,0.006688963210702343,0.037458193979933045,0.0076923076923076945,0.0
"(40, 50]",0.042953020134228116,0.04966442953020125,0.07315436241610729,0.1151006711409399,0.16610738255033622,0.0375838926174496,0.029530201342281827,0.21006711409396034,0.0030201342281879194,0.31841909023117093,0.06107382550335563,0.03422818791946303,0.0030201342281879194,0.0197986577181208,0.004026845637583892,0.0018642803877703207
"(50, 60]",0.13187919463087303,0.028523489932885875,0.11812080536912763,0.08691275167785245,0.09966442953020176,0.06510067114093956,0.03557046979865765,0.10604026845637615,0.03892617449664423,0.2225950782997767,0.02550335570469796,0.04194630872483214,0.005033557046979866,0.05872483221476508,0.035906040268456334,0.0
"(60, 70]",0.09130434782608736,0.015050167224080268,0.13511705685618763,0.026086956521739108,0.14180602006688997,0.1347826086956527,0.05150501672240791,0.10133779264214075,0.055518394648829315,0.19583797844667442,0.05217391304347817,0.11404682274247518,0.03678929765886286,0.016722408026755845,0.023411371237458175,0.03493125232255662
"(70, 80]",0.07449664429530217,0.03624161073825496,0.16073825503355724,0.0322147651006711,0.13557046979865764,0.10402684563758417,0.14261744966442977,0.08187919463087273,0.02550335570469798,0.16480238627889723,0.021812080536912748,0.05838926174496643,0.019463087248322138,0.012080536912751684,0.04563758389261737,0.09731543624161051
"(80, 90]",0.08892617449664449,0.029530201342281827,0.15906040268456414,0.07046979865771812,0.16354515050167268,0.10702341137123765,0.06879194630872487,0.03812709030100328,0.0197324414715719,0.12523225566703836,0.00939597315436242,0.01705685618729097,0.022742474916387933,0.018394648829431426,0.05919732441471562,0.0691192865105907
"(90, 100]",0.0695652173913045,0.04782608695652164,0.1735785953177264,0.12575250836120452,0.18758389261745015,0.08422818791946315,0.09197324414715742,0.028523489932885875,0.037919463087248265,0.1181953765846382,0.0026755852842809363,0.05100671140939586,0.03255033557046974,0.035234899328859,0.039932885906040196,0.06226696495152857
"(100, 110]",0.05436241610738247,0.1003355704697988,0.18959731543624228,0.03221476510067111,0.13590604026845662,0.06677852348993289,0.11040268456375843,0.012080536912751686,0.05671140939597309,0.15883668903803136,0.039261744966442885,0.02986577181208049,0.01778523489932885,0.018120805369127507,0.06275167785234889,0.029082774049216976
"(110, 120]",0.028093645484949827,0.07692307692307707,0.16020066889632148,0.11672240802675588,0.12073578595317722,0.079598662207358,0.15986622073578655,0.10602006688963211,0.03311036789297657,0.20215533259011523,0.039464882943143764,0.10301003344481616,0.016387959866220735,0.030434782608695626,0.002006688963210702,0.018580453363062042
"(120, 130]",0.08523489932885915,0.1281879194630875,0.1976510067114099,0.13993288590604053,0.20234899328859096,0.0510067114093959,0.12516778523489966,0.09395973154362447,0.0221476510067114,0.16517524235645098,0.0036912751677852353,0.03355704697986571,0.02382550335570467,0.041610738255033496,0.049999999999999926,0.06301267710663672
"(130, 140]",0.02550335570469796,0.13288590604026873,0.13523489932885935,0.16912751677852403,0.15503355704698074,0.12550335570469826,0.033892617449664375,0.01107382550335571,0.040268456375838875,0.15398956002982864,0.009731543624161077,0.03590604026845631,0.0,0.05838926174496638,0.05503355704697979,0.029455630126771052
"(140, 150]",0.010033444816053515,0.051839464882943054,0.12842809364548527,0.12675585284280944,0.10401337792642178,0.0936454849498329,0.013377926421404689,0.039130434782608636,0.06220735785953171,0.23894463024897777,0.053511705685618596,0.01739130434782609,0.022408026755852826,0.024414715719063545,0.06120401337792648,0.032329988851727935
"(150, 160]",0.047315436241610664,0.02550335570469796,0.14966442953020162,0.14261744966442996,0.17080536912751723,0.054362416107382454,0.04362416107382542,0.03255033557046977,0.06006711409395968,0.20693512304250591,0.03557046979865766,0.013087248322147658,0.06510067114093947,0.05738255033557044,0.12013422818791966,0.0872483221476508
"(160, 170]",0.02416107382550334,0.031208053691275123,0.10570469798657735,0.10906040268456395,0.11442953020134239,0.025167785234899303,0.030872483221476472,0.09127516778523508,0.0667785234899329,0.09806114839671858,0.021140939597315417,0.0033557046979865767,0.03322147651006708,0.04161073825503349,0.048657718120805306,0.06375838926174483
