Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(0, 10]",0.41570881226053613,0.2172413793103446,0.353448275862069,0.13586206896551747,0.2644295302013424,0.35771812080536947,0.0016778523489932886,0.05331841909023107
"(10, 20]",0.34745447788926054,0.20903010033444905,0.357859531772575,0.10133779264214063,0.4906040268456382,0.3144295302013423,0.04026845637583883,0.10700969425801617
"(20, 30]",0.44034302759135024,0.14026845637583957,0.5308724832214765,0.050671140939597216,0.29664429530201364,0.34899328859060386,0.044630872483221395,0.08501118568232642
"(30, 40]",0.37532515793385357,0.21705685618729062,0.42374581939799366,0.11337792642140482,0.3240802675585285,0.3515050167224081,0.07525083612040143,0.1374953548866591
"(40, 50]",0.35384041759880813,0.24194630872483258,0.3969798657718124,0.10067114093959749,0.26040268456375865,0.49093959731543607,0.04295302013422812,0.18493661446681606
"(50, 60]",0.31282624906785966,0.2654362416107382,0.4271812080536919,0.07818791946308737,0.3302013422818789,0.4083892617449663,0.12986577181208106,0.10924683072334056
"(60, 70]",0.34894091415830547,0.21103678929765937,0.40133779264214076,0.13277591973244185,0.24983277591973213,0.3705685618729096,0.06588628762541811,0.1742846525455221
"(70, 80]",0.35756897837434765,0.10704697986577184,0.4077181208053698,0.014765100671140941,0.22885906040268486,0.2832214765100673,0.1513422818791952,0.09172259507829955
"(80, 90]",0.45302013422818793,0.11812080536912781,0.32214765100671167,0.04295302013422811,0.23859060402684543,0.3355704697986581,0.10671140939597357,0.20066889632107046
"(90, 100]",0.35748792270531377,0.18461538461538463,0.4545150501672237,0.0819397993311038,0.16254180602006715,0.22642140468227487,0.09531772575250862,0.17039522744220756
"(100, 110]",0.3441461595824016,0.2815436241610741,0.4919463087248326,0.11744966442953056,0.33523489932885897,0.2976510067114094,0.06677852348993288,0.07494407158836675
"(110, 120]",0.4224459358687547,0.2667785234899336,0.36308724832214834,0.01677852348993289,0.21772575250836165,0.2966555183946486,0.04247491638795981,0.052396878483834904
"(120, 130]",0.29877369007803906,0.23277591973244222,0.38294314381270844,0.021070234113712373,0.37348993288590615,0.2530201342281877,0.08624161073825522,0.020134228187919455
"(130, 140]",0.1868008948545862,0.2590604026845634,0.4275167785234905,0.03724832214765094,0.4006711409395973,0.40201342281879193,0.14463087248322198,0.024235645041014154
"(140, 150]",0.23713646532438556,0.19966442953020172,0.43926174496644316,0.11644295302013445,0.29096989966555126,0.38561872909698947,0.020401337792642138,0.018208844295800806
"(150, 160]",0.19583797844667453,0.13812709030100384,0.4297658862876255,0.1357859531772576,0.3422818791946308,0.33557046979865773,0.015771812080536907,0.082774049217002
"(160, 170]",0.2975391498881433,0.1577181208053696,0.3506711409395972,0.08993288590604029,0.3083892617449657,0.35503355704697964,0.007046979865771812,0.06674123788217734
"(170, 180]",0.333704942400594,0.09464882943143836,0.6204013377926416,0.039464882943143764,0.4220735785953184,0.394648829431438,0.023745819397993286,0.06354515050167214
"(180, 190]",0.44780014914243077,0.14261744966442966,0.413758389261746,0.017785234899328848,0.38053691275167784,0.23187919463087248,0.05302013422818781,0.020134228187919448
"(190, 200]",0.30536912751677875,0.38422818791946306,0.5446308724832212,0.046308724832214716,0.4409395973154358,0.3167785234899329,0.11409395973154372,0.10589112602535397
"(200, 210]",0.4221479004087695,0.3595317725752511,0.5357859531772576,0.07658862876254192,0.31404682274247536,0.41337792642140486,0.17023411371237487,0.1701969528056492
"(210, 220]",0.39448173005220016,0.29832214765100684,0.5375838926174499,0.0812080536912753,0.46711409395973114,0.36342281879194693,0.11879194630872535,0.10290827740492141
"(220, 230]",0.47949291573452696,0.24832214765100705,0.3325503355704695,0.12080536912751699,0.44161073825503383,0.35805369127516795,0.13892617449664468,0.07829977628635328
"(230, 240]",0.40691192865105896,0.3060200668896322,0.5183946488294305,0.12073578595317716,0.5197324414715715,0.4250836120401338,0.19431438127090334,0.1144555927164621
"(240, 250]",0.3873974645786721,0.3969798657718124,0.4630872483221478,0.12013422818791988,0.4476510067114098,0.4261744966442955,0.12617449664429545,0.14243102162565283
"(250, 260]",0.5074571215510797,0.3124161073825504,0.4785234899328863,0.08993288590604027,0.42909698996655515,0.38561872909698985,0.10468227424749167,0.07915273132664417
"(260, 270]",0.4314381270903014,0.34347826086956557,0.49765886287625355,0.05016722408026747,0.282214765100671,0.3449664429530199,0.15704697986577204,0.05369127516778514
"(270, 280]",0.4873228933631611,0.3399328859060401,0.405369127516778,0.042953020134228095,0.4288590604026846,0.3818791946308728,0.07751677852349007,0.07196122296793424
"(280, 290]",0.4436987322893356,0.4520134228187919,0.43523489932885856,0.12818791946308752,0.3759197324414709,0.4103678929765888,0.13578595317725795,0.024897807506503142
"(290, 300]",0.4804905239687845,0.5016722408026757,0.45016722408026744,0.09431438127090304,0.3456375838926173,0.32382550335570465,0.17080536912751726,0.21625652498135714
"(300, 310]",0.8258762117822493,0.8083892617449678,0.64496644295302,0.7359060402684576,0.7073825503355708,0.16610738255033605,0.15201342281879254,0.604399701715136
"(310, 320]",0.8769973987365272,0.8056856187290977,0.8180602006688968,0.767114093959732,0.8230769230769239,0.42876254180601986,0.46421404682274225,0.7729468599033782
"(320, 330]",0.8139448173005185,0.7661073825503353,0.8600671140939621,0.7167224080267568,0.7436241610738257,0.7795302013422836,0.8124161073825507,0.5581655480984351
"(330, 340]",0.7058165548098404,0.7345637583892618,0.818791946308726,0.7124161073825498,0.7734899328859063,0.79765100671141,0.7818791946308727,0.7833706189410863
"(340, 350]",0.7369007803790386,0.6207357859531762,0.7290969899665556,0.7377926421404677,0.7588628762541803,0.8324414715719076,0.7103678929765893,0.6209587513935332
"(350, 360]",0.6155853840417584,0.772483221476511,0.7932885906040277,0.7291946308724827,0.6211409395973153,0.7885906040268453,0.7020134228187911,0.6524981357196092
"(360, 370]",0.6241610738255011,0.7627516778523494,0.7802013422818801,0.6503355704697977,0.6197986577181207,0.7345637583892626,0.7570469798657724,0.6319910514541371
"(370, 380]",0.6767001114827182,0.7913043478260872,0.768227424749163,0.7173913043478252,0.7581939799331113,0.68494983277592,0.7408026755852847,0.529171311780006
"(380, 390]",0.7322893363161795,0.7751677852349,0.7758389261744975,0.7708053691275175,0.7053691275167792,0.7969798657718127,0.7332214765100675,0.7032065622669632
"(390, 400]",0.6793437733035024,0.7308724832214769,0.78758389261745,0.7409395973154365,0.7729096989966564,0.751505016722407,0.7752508361204025,0.7101449275362289
"(400, 410]",0.778892604979558,0.7812709030100335,0.8341137123745845,0.7153846153846156,0.7439597315436264,0.7382550335570458,0.7761744966442962,0.6140939597315416
