Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(0, 10]",0.10206896551724162,0.12241379310344849,0.1368965517241382,0.1465517241379317,0.0050335570469798654,0.23974645786726403,0.1379194630872487,0.2553691275167788
"(10, 20]",0.08361204013377924,0.11672240802675625,0.10635451505016755,0.14682274247491647,0.08179530201342282,0.08612975391498864,0.11073825503355726,0.3949664429530201
"(20, 30]",0.2459731543624157,0.049328859060402575,0.09295302013422825,0.15939597315436282,0.07340604026845637,0.01155853840417599,0.10000000000000044,0.1815436241610744
"(30, 40]",0.18026755852842866,0.04849498327759189,0.06454849498327758,0.03277591973244142,0.1254180602006689,0.07580824972129303,0.10903010033444835,0.3237458193979931
"(40, 50]",0.1832214765100677,0.12583892617449713,0.1550335570469801,0.023825503355704665,0.007550335570469799,0.10738255033557019,0.1546979865771819,0.1832214765100676
"(50, 60]",0.11140939597315459,0.13657718120805384,0.2120805369127519,0.04932885906040264,0.030620805369127518,0.05219985085756888,0.16073825503355743,0.14295302013422864
"(60, 70]",0.1301003344481609,0.10702341137123762,0.228428093645485,0.07658862876254201,0.015050167224080268,0.07989594946116668,0.12909698996655541,0.12408026755852881
"(70, 80]",0.15906040268456406,0.20939597315436223,0.1265100671140941,0.06006711409395974,0.05201342281879195,0.024981357196122274,0.17114093959731536,0.06577181208053688
"(80, 90]",0.21241610738255046,0.11912751677852387,0.18590604026845622,0.03355704697986573,0.027684563758389263,0.02759134973900071,0.16622073578595364,0.05250836120401326
"(90, 100]",0.09698996655518409,0.13913043478260861,0.16856187290969946,0.012709030100334454,0.02048494983277592,0.0561129691564473,0.06677852348993286,0.022818791946308703
"(100, 110]",0.15335570469798676,0.2906040268456376,0.13322147651006744,0.1204697986577185,0.004614093959731544,0.026099925428784455,0.05939597315436232,0.1500000000000004
"(110, 120]",0.2107382550335575,0.3060402684563758,0.15201342281879238,0.08691275167785259,0.07107023411371237,0.04013377926421398,0.10167224080267563,0.07792642140468241
"(120, 130]",0.10267558528428103,0.26086956521739135,0.15384615384615408,0.033444816053511656,0.02936241610738255,0.09656972408650237,0.07483221476510078,0.048657718120805264
"(130, 140]",0.12885906040268483,0.12046979865771838,0.20838926174496694,0.1030201342281881,0.031879194630872486,0.13273676360924697,0.127852348993289,0.11006711409396018
"(140, 150]",0.13959731543624196,0.0865771812080539,0.12046979865771829,0.12617449664429542,0.017140468227424748,0.11408398364920096,0.05986622073578592,0.10167224080267565
"(150, 160]",0.04314381270903004,0.0722408026755853,0.1605351170568564,0.06555183946488297,0.07088926174496644,0.0879940343027589,0.04798657718120794,0.20167785234899396
"(160, 170]",0.09597315436241616,0.09093959731543645,0.1848993288590608,0.009395973154362422,0.09312080536912752,0.1875466070096945,0.0969798657718122,0.05805369127516769
"(170, 180]",0.12943143812709088,0.0692307692307693,0.1719063545150503,0.03311036789297654,0.07357859531772576,0.13823857302118175,0.014715719063545152,0.025752508361204005
"(180, 190]",0.1473154362416112,0.0859060402684564,0.09865771812080533,0.0392617449664429,0.016359060402684564,0.10439970171513768,0.10335570469798665,0.1308724832214769
