Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(0, 10]",0.08517241379310346,0.07068965517241367,0.10793103448275884,0.42375478927203053,0.12885906040268505,0.001342281879194631,0.05402684563758378,0.14463087248322187
"(10, 20]",0.10033444816053533,0.1889632107023411,0.060535117056856165,0.3864734299516904,0.11711409395973199,0.007046979865771814,0.01375838926174497,0.18221476510067167
"(20, 30]",0.07852348993288606,0.10436241610738266,0.1285234899328864,0.44519015659955236,0.14697986577181252,0.00939597315436242,0.03523489932885901,0.14429530201342317
"(30, 40]",0.09431438127090325,0.16521739130434826,0.19565217391304365,0.4637681159420299,0.14013377926421453,0.0,0.035785953177257496,0.10769230769230785
"(40, 50]",0.1355704697986581,0.19865771812080607,0.1536912751677857,0.49552572706934994,0.06073825503355697,0.008053691275167784,0.11375838926174502,0.0835570469798659
"(50, 60]",0.07550335570469818,0.1697986577181212,0.15369127516778533,0.46010439970171535,0.11946308724832234,0.013422818791946315,0.15973154362416095,0.11879194630872517
"(60, 70]",0.12207357859531809,0.1989966555183943,0.08361204013377933,0.4764028242289111,0.12107023411371245,0.03511705685618722,0.08595317725752515,0.20200668896321078
"(70, 80]",0.11208053691275148,0.36845637583892593,0.1694630872483225,0.3635346756152131,0.045637583892617406,0.05637583892617444,0.09530201342281884,0.14496644295302077
"(80, 90]",0.08120805369127532,0.2845637583892613,0.14328859060402746,0.34489187173750924,0.04161073825503348,0.022483221476510044,0.06744966442953021,0.11204013377926417
"(90, 100]",0.10836120401337813,0.1836120401337798,0.12642140468227445,0.44481605351170567,0.024749163879598628,0.025083612040133766,0.025418060200668877,0.1338926174496647
"(100, 110]",0.04060402684563752,0.20436241610738312,0.06140939597315441,0.4552572706935118,0.09664429530201361,0.03288590604026843,0.08456375838926189,0.13691275167785297
