Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.6292517006802714,0.6872483221476505,0.6620805369127508,0.5439597315436239,0.23581452104942083,0.30134228187919454,0.5989932885906034,0.6325503355704695,0.26677852348993253,0.40303030303030274,0.18215488215488265,0.2218855218855221,0.46969696969697045,0.46936026936026987,0.15892255892255908,0.2713804713804711
"(10, 20]",0.5610738255033544,0.6838926174496633,0.6033557046979858,0.5043624161073816,0.2794386821232458,0.2734899328859062,0.5399328859060397,0.7416107382550335,0.1479865771812085,0.39228187919463103,0.19932885906040274,0.16040268456375895,0.6020134228187913,0.5503355704697982,0.19697986577181276,0.21812080536912756
"(20, 30]",0.54261744966443,0.6026845637583887,0.5973154362416111,0.6305369127516776,0.23276388041488777,0.23288590604026851,0.6016778523489926,0.642953020134228,0.1114093959731548,0.3483221476510068,0.19362416107382607,0.24597315436241668,0.5426174496644288,0.5533557046979871,0.1765100671140945,0.30100671140939605
"(30, 40]",0.6541806020066887,0.691638795986622,0.5745819397993306,0.5421404682274242,0.155670416539982,0.2969899665551836,0.6153846153846149,0.6581939799331087,0.1321070234113716,0.26120401337792654,0.3565217391304346,0.248494983277592,0.47023411371237495,0.4839464882943148,0.3013377926421406,0.30969899665551837
"(40, 50]",0.5973154362416105,0.712416107382549,0.6459731543624169,0.6593959731543608,0.3840756558877356,0.4211409395973158,0.6587248322147645,0.6275167785234895,0.04899328859060396,0.29161073825503364,0.3828859060402685,0.3406040268456376,0.4979865771812072,0.3708053691275168,0.20302013422818818,0.321812080536913
"(50, 60]",0.5973154362416102,0.6345637583892602,0.6832214765100663,0.6516778523489928,0.31025015253203236,0.24932885906040306,0.606040268456375,0.6651006711409395,0.06644295302013421,0.20872483221476487,0.4285234899328852,0.26006711409395944,0.45317725752508436,0.2561872909698997,0.3755033557046984,0.33154362416107364
"(60, 70]",0.5779264214046824,0.6127090301003337,0.6535117056856183,0.5772575250836116,0.5022803283672864,0.20969899665551875,0.5605351170568557,0.6963210702341143,0.20535117056856225,0.298327759197325,0.4832775919732452,0.2214046822742479,0.4137583892617449,0.3120805369127509,0.30936454849498285,0.34782608695652195
"(70, 80]",0.5530201342281879,0.5791946308724826,0.6120805369127515,0.5751677852348986,0.2733374008541792,0.27416107382550303,0.5983221476510063,0.643288590604026,0.22181208053691318,0.36476510067114126,0.47651006711409427,0.18456375838926226,0.4174496644295307,0.35201342281879167,0.3033557046979863,0.3406040268456374
"(80, 90]",0.504682274247491,0.7270903010033443,0.621739130434782,0.4401337792642142,0.3022195196108237,0.21605351170568604,0.6484949832775915,0.6548494983277579,0.14615384615384627,0.5404682274247483,0.43979933110367914,0.11571906354515084,0.4832775919732435,0.37324414715719056,0.23076923076923073,0.3424749163879598
"(90, 100]",0.5842281879194632,0.7167785234899327,0.6255033557046973,0.46140939597315367,0.3676021964612567,0.2637583892617451,0.6006711409395974,0.6986577181208042,0.08523489932885918,0.44093959731543636,0.4342281879194635,0.1838926174496647,0.5845637583892606,0.31375838926174404,0.2674496644295302,0.3476510067114096
