Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.30238095238095214,0.14093959731543654,0.1647651006711414,0.3865771812080537,0.1795302013422819,0.5359060402684567,0.3640939597315437,0.2589993898718734,0.4228187919463088,0.4181208053691281,0.22491582491582524,0.17643097643097666,0.01380471380471381,0.02244668911335575,0.040740740740740716,0.023569023569023545
"(10, 20]",0.4352348993288591,0.2000000000000003,0.12416107382550345,0.3409395973154363,0.15671140939597322,0.5365771812080533,0.39362416107382586,0.24191580231848717,0.18381804623415418,0.32080536912751606,0.18422818791946366,0.1818791946308731,0.03691275167785231,0.04101416853094699,0.061073825503355605,0.07281879194630865
"(20, 30]",0.41979865771812114,0.20872483221476545,0.11912751677852361,0.4164429530201348,0.23322147651006758,0.566442953020134,0.45939597315436254,0.3468578401464307,0.1957494407158839,0.13825503355704716,0.10436241610738256,0.11241610738255035,0.021812080536912738,0.060029828486204244,0.09731543624161113,0.11342281879194653
"(30, 40]",0.46220735785953154,0.14715719063545185,0.2678929765886285,0.4254180602006692,0.21270903010033435,0.4688963210702348,0.4050167224080267,0.39677713590756974,0.26830174656261646,0.16521739130434804,0.16120401337792692,0.11337792642140505,0.09765886287625443,0.09959123002601233,0.033444816053511656,0.10100334448160554
"(40, 50]",0.42785234899328894,0.14899328859060432,0.20704697986577197,0.2892617449664431,0.24228187919463118,0.5201342281879193,0.4503355704697986,0.3038438071995116,0.23303504847129017,0.16308724832214805,0.12651006711409438,0.0640939597315436,0.03288590604026839,0.09582401193139424,0.04295302013422813,0.07114093959731553
"(50, 60]",0.46476510067114196,0.20033557046979883,0.27516778523489965,0.3291946308724832,0.11912751677852368,0.6140939597315442,0.48020134228187944,0.3651616839536288,0.28859060402684633,0.10503355704698022,0.08590604026845644,0.13859060402684584,0.11137123745819429,0.021625652498135695,0.03221476510067111,0.02181208053691273
"(60, 70]",0.44648829431438153,0.2103678929765891,0.20334448160535173,0.44214046822742464,0.22474916387959876,0.6207357859531766,0.4384615384615382,0.3101246579507453,0.20772946859903416,0.12006688963210735,0.18628762541806054,0.17357859531772638,0.08020134228187911,0.07989594946116665,0.10969899665551852,0.0060200668896321086
"(70, 80]",0.4892617449664439,0.20201342281879242,0.15738255033557083,0.3573825503355707,0.19328859060402698,0.6573825503355709,0.4234899328859063,0.25167785234899365,0.19873228933631643,0.12483221476510067,0.21073825503355773,0.14228187919463112,0.03892617449664425,0.055182699478001404,0.03523489932885901,0.02248322147651004
"(80, 90]",0.4234113712374585,0.158862876254181,0.219732441471572,0.3826086956521738,0.23177257525083653,0.7013377926421392,0.4759197324414718,0.21921556704165435,0.3426235600148647,0.1638795986622081,0.14314381270903048,0.22408026755852858,0.09565217391304354,0.04310665180230392,0.025083612040133756,0.08260869565217413
"(90, 100]",0.40738255033557075,0.2557046979865775,0.31308724832214757,0.3654362416107385,0.19832214765100725,0.6244966442953015,0.4026845637583893,0.18913971934106222,0.21774794929157415,0.11677852348993316,0.16711409395973198,0.23993288590603942,0.1244966442953024,0.05108128262490671,0.04832214765100667,0.058389261744966406
"(100, 110]",0.3546979865771811,0.17516778523489965,0.33053691275167824,0.23590604026845652,0.2147651006711414,0.5432885906040275,0.4644295302013427,0.20927394752898146,0.22184936614466866,0.13926174496644347,0.176174496644296,0.2010067114093959,0.04597315436241605,0.0145413870246085,0.03087248322147648,0.01946308724832213
"(110, 120]",0.41672240802675586,0.14782608695652194,0.35351170568561846,0.21137123745819417,0.14682274247491708,0.5842809364548491,0.5371237458193976,0.3207661903314074,0.1400966183574882,0.08862876254180617,0.09464882943143843,0.20234113712374605,0.1535117056856187,0.018580453363062042,0.03344481605351168,0.03411371237458188
"(120, 130]",0.3902684563758393,0.19026845637583956,0.37684563758389233,0.21912751677852363,0.146308724832215,0.633221476510066,0.5459731543624164,0.2959121415497257,0.1651752423564509,0.15268456375838999,0.0674496644295302,0.1328859060402689,0.10704697986577207,0.07792692020879927,0.1124161073825506,0.06812080536912746
"(130, 140]",0.47046979865771893,0.2134228187919468,0.26543624161073837,0.38523489932885874,0.17852348993288614,0.6744966442953014,0.47483221476510057,0.23978035387431432,0.08799403430275894,0.12818791946308764,0.07516778523489936,0.14832214765100699,0.030872483221476506,0.14466815809097686,0.09597315436241613,0.051342281879194505
"(140, 150]",0.4628762541806025,0.1963210702341142,0.2698996655518395,0.36956521739130455,0.23277591973244122,0.6321070234113699,0.5217391304347824,0.24110671936758885,0.08992939427722015,0.0478260869565217,0.11906354515050196,0.07324414715719073,0.12173913043478275,0.1289483463396507,0.12173913043478282,0.06956521739130432
"(150, 160]",0.3097315436241608,0.34395973154362447,0.22986577181208073,0.36946308724832166,0.31510067114093926,0.6805369127516776,0.3949664429530202,0.16961561928004923,0.05704697986577168,0.11308724832214781,0.03724832214765095,0.0959731543624163,0.02852348993288589,0.13460104399701708,0.08456375838926179,0.1634228187919469
"(160, 170]",0.2281879194630872,0.2946308724832209,0.26711409395973157,0.30805369127516746,0.24161073825503432,0.5751677852348992,0.4436241610738256,0.15344722391702303,0.07979120059656959,0.06375838926174494,0.046979865771812006,0.2077181208053694,0.0889261744966443,0.11111111111111095,0.08489932885906043,0.11409395973154349
"(170, 180]",0.19063545150501712,0.3966555183946487,0.18929765886287667,0.3638795986622074,0.260200668896321,0.5140468227424744,0.5367892976588631,0.226512617816966,0.08621330360460776,0.08963210702341144,0.09531772575250877,0.16655518394648902,0.06555183946488297,0.10850984764028221,0.05618729096989957,0.09866220735785972
"(180, 190]",0.2070469798657725,0.29429530201342263,0.26677852348993286,0.35838926174496594,0.3026845637583894,0.6154362416107373,0.3627516778523488,0.23459426479560763,0.14466815809097697,0.036912751677852296,0.13657718120805404,0.1372483221476512,0.07013422818791946,0.14504101416853105,0.028859060402684534,0.016442953020134227
"(190, 200]",0.24563758389261742,0.31342281879194667,0.22181208053691326,0.30771812080536914,0.37080536912751666,0.6060402684563754,0.49295302013422837,0.2513727882855409,0.15324384787472067,0.09026845637583888,0.22281879194630866,0.14228187919463128,0.055704697986577054,0.08538404175988056,0.024161073825503327,0.042617449664429465
"(200, 210]",0.23210702341137093,0.2227424749163878,0.145150501672241,0.34347826086956534,0.28963210702341163,0.5936454849498317,0.5086956521739132,0.2462754636667681,0.10033444816053487,0.16421404682274263,0.09966555183946493,0.13244147157190667,0.04648829431438118,0.11891490152359702,0.09464882943143836,0.055852842809364464
"(210, 220]",0.2177852348993291,0.29865771812080566,0.23926174496644328,0.39899328859060373,0.25469798657718107,0.6228187919463087,0.5432885906040266,0.2806589383770589,0.07755406413124517,0.06744966442953028,0.21946308724832192,0.24697986577181177,0.05771812080536907,0.15100671140939595,0.08489932885906044,0.004362416107382551
"(220, 230]",0.22441471571906363,0.35886287625418095,0.2675585284280929,0.3053511705685622,0.21739130434782586,0.6080267558528425,0.535785953177258,0.189723320158103,0.09327387588257133,0.025752508361203984,0.25284280936454817,0.18127090301003385,0.05652173913043479,0.16313638052768506,0.22107023411371227,0.027090301003344475
"(230, 240]",0.20570469798657792,0.2775167785234898,0.1600671140939603,0.3590604026845638,0.3624161073825505,0.6097315436241603,0.5114093959731547,0.11348383160463726,0.0961968680089483,0.02516778523489931,0.22416107382550396,0.08624161073825506,0.022147651006711382,0.2609992542878454,0.1808724832214771,0.02684563758389261
"(240, 250]",0.20973154362416135,0.3164429530201344,0.15805369127516813,0.3674496644295306,0.4016778523489932,0.5906040268456377,0.4788590604026845,0.05430140329469196,0.08277404921700204,0.009731543624161077,0.18513513513513566,0.05939597315436239,0.006375838926174498,0.2777777777777781,0.23221476510067154,0.09630872483221506
"(250, 260]",0.2618729096989967,0.35652173913043544,0.18795986622073638,0.34180602006688987,0.25852842809364557,0.6086956521739132,0.5153846153846157,0.15901489814533326,0.051282051282051204,0.04147157190635446,0.15451505016722467,0.12709030100334476,0.028428093645484927,0.33296172426607223,0.2973244147157189,0.024414715719063527
"(260, 270]",0.3848993288590603,0.30570469798657723,0.24731543624161118,0.2838926174496649,0.253020134228188,0.6590604026845639,0.5218120805369127,0.16656497864551587,0.1715137956748697,0.02550335570469798,0.1184563758389264,0.2536912751677853,0.11241610738255071,0.22073079791200634,0.20973154362416102,0.05033557046979855
"(270, 280]",0.40268456375838957,0.3731543624161074,0.15402684563758443,0.24899328859060446,0.15369127516778552,0.6127516778523482,0.5865771812080529,0.2614399023794999,0.2639821029082783,0.1060402684563761,0.12919463087248356,0.18389261744966484,0.07114093959731556,0.2971662938105893,0.2372483221476513,0.023154362416107382
"(280, 290]",0.3277591973244149,0.3695652173913045,0.23177257525083603,0.2755852842809362,0.14749163879598712,0.5953177257525077,0.5638795986622067,0.18607479477044722,0.2731326644370125,0.11638795986622108,0.09163879598662208,0.08327759197324422,0.01404682274247492,0.23114083983649256,0.17525083612040185,0.032775919732441434
"(290, 300]",0.2872483221476512,0.26241610738255033,0.1922818791946312,0.25234899328859073,0.2097315436241617,0.5771812080536906,0.5728187919463079,0.2382550335570474,0.2330350484712905,0.16744966442953052,0.23120805369127528,0.19463087248322172,0.03657718120805363,0.20171513795674928,0.10805369127516791,0.021140939597315434
"(300, 310]",0.3892617449664426,0.5228187919463085,0.45134228187919445,0.26375838926174483,0.42315436241610743,0.6785234899328846,0.49798657718120815,0.24222086638194065,0.45302013422818793,0.3422818791946306,0.1573825503355706,0.3295302013422818,0.024832214765100637,0.4429530201342282,0.40469798657718126,0.3228187919463083
"(310, 320]",0.7438127090301018,0.7625418060200677,0.8401337792642156,0.7461538461538453,0.6909698996655504,0.6280936454849487,0.6010033444816049,0.5734265734265727,0.792270531400964,0.7829431438127107,0.4812709030100333,0.6491638795986606,0.36655518394648806,0.801560758082494,0.6792642140468226,0.7153846153846145
"(320, 330]",0.7916107382550341,0.845637583892618,0.8489932885906055,0.8137583892617463,0.7221476510067106,0.7604026845637597,0.7902684563758399,0.7733374008541775,0.7770320656226674,0.7791946308724844,0.7453020134228184,0.7439597315436243,0.6677852348993283,0.7967934377330327,0.7479865771812096,0.7157718120805361
"(330, 340]",0.8399328859060418,0.7889261744966455,0.7859060402684565,0.7607382550335571,0.8070469798657717,0.8500000000000014,0.8446308724832233,0.75533862111043,0.7990305741983559,0.8291946308724852,0.7637583892617454,0.7577181208053696,0.66979865771812,0.7479492915734505,0.8013422818791949,0.6406040268456372
"(340, 350]",0.8371237458193993,0.810033444816055,0.7939799331103676,0.7525083612040128,0.8344481605351174,0.7826086956521733,0.7695652173913047,0.7823046518698674,0.741360089186173,0.8080267558528433,0.7525083612040133,0.6879598662207353,0.6675585284280933,0.7643998513563702,0.8030100334448161,0.7862876254180605
"(350, 360]",0.8399328859060414,0.7969798657718127,0.767114093959733,0.7164429530201342,0.7442953020134224,0.7919463087248321,0.8050335570469811,0.7562538133007912,0.7509321401938825,0.8127516778523508,0.6993288590604023,0.7604026845637567,0.7446308724832227,0.8236390753169239,0.7040268456375833,0.7791946308724831
"(360, 370]",0.8355704697986588,0.8545150501672265,0.8224080267558541,0.7444816053511718,0.8096989966555175,0.8324414715719076,0.7153846153846153,0.6865308604439021,0.6770717205499788,0.7839464882943148,0.694314381270905,0.7806020066889647,0.7173913043478253,0.7079152731326609,0.7899665551839469,0.7147157190635463
"(370, 380]",0.8331103678929775,0.786577181208055,0.8197986577181222,0.6375838926174489,0.7838926174496653,0.7063758389261733,0.7067114093959734,0.6833435021354467,0.7960477255779234,0.7788590604026848,0.708724832214765,0.7500000000000001,0.745302013422818,0.8419090231170739,0.8070469798657733,0.6711409395973149
"(380, 390]",0.785234899328859,0.8577181208053719,0.7721476510067123,0.727181208053691,0.734228187919463,0.71510067114094,0.7697986577181208,0.7306284319707116,0.7639821029082733,0.7506711409395989,0.7671140939597321,0.811073825503357,0.7496644295302026,0.769202087994032,0.8271812080536916,0.6067114093959728
"(390, 400]",0.7926421404682279,0.8257525083612042,0.7779264214046839,0.76086956521739,0.8254180602006695,0.7795986622073586,0.7571906354515056,0.694740042566127,0.7692307692307648,0.8220735785953197,0.7959866220735802,0.7652173913043487,0.5809364548494983,0.8037904124860628,0.7819397993311042,0.6270903010033432
"(400, 410]",0.8191275167785245,0.8120805369127537,0.8275167785234911,0.7332214765100665,0.838255033557048,0.7335570469798655,0.7352348993288583,0.7211714460036583,0.7244593586875442,0.8003355704697986,0.7174496644295296,0.8325503355704715,0.707046979865772,0.8049962714392219,0.7882550335570473,0.73993288590604
"(410, 420]",0.8187290969899683,0.7989966555183953,0.8408026755852853,0.8090301003344496,0.7147157190635439,0.731772575250835,0.7575250836120399,0.7391304347826063,0.7521367521367487,0.7157190635451501,0.7906040268456389,0.7949664429530218,0.7280936454849519,0.7964205816554782,0.8362416107382552,0.8177257525083628
"(420, 430]",0.8285234899328867,0.8352348993288595,0.8228187919463104,0.7489932885906038,0.7261744966442956,0.7379194630872482,0.7718120805369127,0.751067724222084,0.8161819537658435,0.7278523489932887,0.8247491638796004,0.8013377926421411,0.748657718120805,0.701969528056481,0.8200668896321087,0.7959731543624161
"(430, 440]",0.7882550335570463,0.7939597315436255,0.8479865771812095,0.7479865771812078,0.6942953020134239,0.7439597315436245,0.7956375838926179,0.7025625381330051,0.6666666666666643,0.7036789297658855,0.8154362416107394,0.7936241610738266,0.7143812709030087,0.822893363161817,0.8197986577181232,0.8046979865771828
"(440, 450]",0.8050167224080281,0.7628762541806018,0.7936454849498338,0.8227424749163891,0.8682274247491653,0.7364548494983278,0.8003344481605364,0.6716327151109742,0.7524235645040982,0.7614093959731566,0.8274247491638811,0.7217391304347835,0.7097315436241626,0.7911557041991794,0.8414715719063557,0.8036789297658872
"(450, 460]",0.7315436241610738,0.8459731543624183,0.7493288590604036,0.7271812080536912,0.8442953020134245,0.7154362416107382,0.7285234899328864,0.7303233679072588,0.8117076808351955,0.8352348993288606,0.772818791946309,0.7681208053691284,0.7124161073825482,0.778896346010437,0.8526845637583909,0.7761744966442954
"(460, 470]",0.7946488294314403,0.808695652173915,0.7214046822742473,0.7434782608695641,0.842809364548497,0.7173913043478253,0.781270903010035,0.7883855275159602,0.8446674098847982,0.7929765886287635,0.7913043478260879,0.8428093645484961,0.755183946488295,0.8740245261984373,0.7949832775919751,0.7377926421404679
"(470, 480]",0.8191275167785249,0.8535353535353556,0.7700336700336701,0.7932885906040279,0.8493288590604045,0.7859060402684571,0.75805369127517,0.7422208663819377,0.7833706189410861,0.7906040268456376,0.8234899328859078,0.7979865771812084,0.7328859060402677,0.8117076808351944,0.7946308724832223,0.7332214765100683
"(480, 490]",0.7802013422818808,0.8107023411371244,0.8006688963210719,0.7647651006711397,0.8671140939597336,0.8335570469798663,0.8080536912751687,0.850213544844416,0.8210290827740466,0.8167785234899346,0.8013422818791964,0.8070469798657728,0.6845637583892604,0.7915734526472756,0.8211409395973165,0.8130872483221488
"(490, 500]",0.8110367892976595,0.8280936454849517,0.772909698996657,0.7066889632107032,0.8170568561872924,0.7936454849498342,0.7351170568561877,0.7512921860747916,0.7755481233742071,0.849832775919735,0.7979933110367905,0.848160535117059,0.7033444816053507,0.8052768487551065,0.8187290969899669,0.7648829431438137
"(500, 510]",0.7966442953020144,0.7654362416107386,0.6751677852348991,0.8204697986577193,0.8234899328859064,0.8006711409395996,0.8046979865771823,0.7303233679072588,0.763609246830721,0.8493288590604043,0.7909395973154386,0.8426174496644308,0.7067114093959711,0.7337807606263962,0.8093959731543637,0.7516778523489941
"(510, 520]",0.7533557046979871,0.8117449664429544,0.7919463087248332,0.773825503355705,0.8513422818791969,0.8083892617449671,0.767785234899329,0.6671751067724204,0.7956748695003699,0.8137583892617468,0.8144295302013447,0.8640939597315453,0.6922818791946316,0.7643549589858285,0.8369127516778546,0.8077181208053708
