Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.2425170068027213,0.10782312925170101,0.1996644295302015,0.4208053691275173,0.0014914243102162564,0.35939597315436267,0.27013422818791927,0.2544234289200735,0.5753169276659218,0.027609427609427584,0.13838383838383858,0.15824915824915833,0.15525626636737766,0.01952861952861952,0.02929292929292926,0.10026187803965557
"(10, 20]",0.19463087248322186,0.15738255033557055,0.23489932885906098,0.3996644295302017,0.05331841909023108,0.38221476510067137,0.3261744966442948,0.23978035387431426,0.48545861297539233,0.005369127516778525,0.11845637583892626,0.07531692766592075,0.10700969425801614,0.03322147651006707,0.040604026845637554,0.1312453392990304
"(20, 30]",0.3630872483221479,0.14429530201342292,0.17281879194630886,0.5630872483221476,0.006711409395973156,0.2922818791946306,0.2671140939597316,0.2379499694935942,0.418717375093214,0.007046979865771812,0.1755033557046982,0.14429530201342308,0.0611483967188664,0.02348993288590601,0.07516778523489942,0.09209545115585357
"(30, 40]",0.28260869565217406,0.19531772575250875,0.13712374581939843,0.4180602006688963,0.004087699739873653,0.31638795986622037,0.30702341137123745,0.28580115536637235,0.39502043849869845,0.00702341137123746,0.14816053511705732,0.05685618729096984,0.04310665180230389,0.013043478260869573,0.08394648829431445,0.05908584169453723
"(40, 50]",0.26879194630872477,0.18590604026845664,0.1362416107382552,0.45436241610738276,0.0376584638329604,0.27617449664429505,0.36543624161073796,0.2995729103111657,0.4004474272930642,0.03557046979865766,0.17684563758389316,0.09880686055182673,0.06636838180462326,0.0030201342281879194,0.0620805369127517,0.07755406413124515
"(50, 60]",0.33557046979865734,0.16241610738255077,0.2036912751677857,0.41778523489932884,0.007829977628635349,0.43422818791946327,0.35167785234899357,0.22635753508236772,0.26920208799403433,0.02147651006711409,0.20906040268456427,0.0950782997762861,0.09438870308435504,0.039932885906040196,0.006040268456375839,0.01715137956748695
"(60, 70]",0.242809364548495,0.15618729096989978,0.1946488294314383,0.433779264214047,0.0,0.4963210702341134,0.3648829431438126,0.13317117664943773,0.3478260869565213,0.0157190635451505,0.2250836120401343,0.06465997770345586,0.08090976882923172,0.013377926421404689,0.0678929765886288,0.04868078781122256
"(70, 80]",0.33825503355704717,0.14429530201342336,0.208389261744967,0.348993288590604,0.010812826249067863,0.41879194630872474,0.4191275167785237,0.22178157413056782,0.322893363161819,0.03422818791946304,0.2285234899328866,0.1360924683072336,0.07829977628635329,0.028523489932885865,0.032550335570469796,0.04213273676360916
"(80, 90]",0.32040133779264196,0.1371237458193982,0.157190635451505,0.47324414715719004,0.0022296544035674474,0.5086956521739135,0.40535117056856196,0.1720887807844333,0.30732069862504696,0.03678929765886284,0.20066889632107052,0.1668524712002978,0.10516536603493094,0.0023411371237458192,0.11638795986622097,0.04682274247491631
"(90, 100]",0.23489932885905973,0.17818791946308776,0.1979865771812085,0.4073825503355703,0.004474272930648771,0.5530201342281875,0.3469798657718127,0.11805979255643718,0.3090976882923195,0.06375838926174497,0.18523489932885914,0.16592095451155903,0.13273676360924683,0.0026845637583892616,0.054362416107382454,0.08240119313944798
