Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity,Replicate 13 Percent Group Activity,Replicate 14 Percent Group Activity,Replicate 15 Percent Group Activity,Replicate 16 Percent Group Activity
"(0, 10]",0.2677852348993283,0.37416107382550334,0.05201342281879185,0.09597315436241638,0.06498316498316509,0.01178451178451179,0.12181208053691306,0.02114093959731543,0.040939597315436185,0.003355704697986578,0.11504854368932053,0.12281879194630885,0.12483221476510084,0.046308724832214695,0.02684563758389259,0.014860977948226268
"(10, 20]",0.34731543624161076,0.4855704697986592,0.1486577181208055,0.18120805369127546,0.0006688963210702342,0.01839464882943144,0.0865771812080538,0.0006711409395973155,0.011073825503355708,0.013422818791946312,0.14648829431438165,0.06107382550335564,0.06140939597315429,0.00939597315436242,0.0778523489932887,0.013902205177372961
"(20, 30]",0.32617449664429543,0.2808724832214769,0.13154362416107399,0.19429530201342313,0.07684563758389269,0.07651006711409407,0.04261744966442948,0.027852348993288575,0.026510067114093944,0.02311707680835195,0.03053691275167781,0.09395973154362429,0.12046979865771872,0.051677852348993206,0.014093959731543631,0.00383509108341323
"(30, 40]",0.31705685618729046,0.48394648829431436,0.0448160535117056,0.3006688963210702,0.05451505016722397,0.05785953177257523,0.07224080267558528,0.03277591973244144,0.03277591973244144,0.03010033444816048,0.030434782608695605,0.02775919732441469,0.0872909698996658,0.013712374581939801,0.039464882943143764,0.09507883420926878
"(40, 50]",0.2268456375838929,0.3818791946308721,0.09463087248322159,0.23221476510067096,0.04999999999999989,0.03523489932885901,0.02483221476510067,0.07718120805369141,0.015100671140939598,0.008202833706189414,0.06308724832214757,0.04161073825503351,0.047986577181207954,0.009731543624161077,0.1120805369127518,0.16299137104506256
"(50, 60]",0.21510067114093995,0.4077181208053689,0.13389261744966477,0.15033557046979903,0.007046979865771814,0.011073825503355708,0.031879194630872444,0.02181208053691274,0.006375838926174497,0.020879940343027568,0.013422818791946315,0.04228187919463083,0.03255033557046975,0.03657718120805363,0.10268456375838943,0.02348993288590603
"(60, 70]",0.3110367892976588,0.4521739130434788,0.15618729096989994,0.09464882943143804,0.006688963210702343,0.07959866220735802,0.021404682274247498,0.023745819397993292,0.02909698996655514,0.057227796358231,0.014715719063545152,0.09966555183946517,0.004682274247491639,0.02541806020066886,0.07458193979933123,0.010989010989010986
"(70, 80]",0.3369127516778522,0.3359060402684568,0.20872483221476507,0.11140939597315463,0.0030201342281879194,0.03691275167785229,0.025167785234899303,0.052348993288590474,0.014093959731543631,0.0018642803877703207,0.05604026845637579,0.026174496644295275,0.004362416107382551,0.05704697986577173,0.06946308724832208,0.12032598274209014
"(80, 90]",0.4615384615384612,0.33846153846153876,0.165217391304348,0.145150501672241,0.011371237458193984,0.029096989966555162,0.014715719063545154,0.09531772575250877,0.0030100334448160534,0.001858045336306206,0.08494983277591985,0.014046822742474917,0.0010067114093959733,0.030872483221476465,0.07214765100671142,0.014381591562799613
"(90, 100]",0.4278523489932885,0.4124161073825505,0.18355704697986627,0.18456375838926195,0.02785234899328857,0.019798657718120796,0.09261744966442947,0.07348993288590606,0.006711409395973154,0.038777032065622594,0.16140939597315493,0.02953020134228184,0.007357859531772577,0.013377926421404689,0.11237458193979945,0.0
"(100, 110]",0.44899328859060433,0.39127516778523513,0.09966442953020142,0.18422818791946333,0.11241610738255052,0.026174496644295272,0.12013422818791972,0.11375838926174502,0.021140939597315427,0.05592841163310951,0.10000000000000028,0.011409395973154369,0.04026845637583885,0.03087248322147649,0.026845637583892582,0.021572387344199424
"(110, 120]",0.4153846153846155,0.40936454849498344,0.2454849498327758,0.13511705685618786,0.11003344481605372,0.06889632107023409,0.17491638795986655,0.05418060200668888,0.018060200668896312,0.03716090672612406,0.04916387959866213,0.009030100334448165,0.11337792642140512,0.06454849498327754,0.03511705685618723,0.1328236980410892
"(120, 130]",0.3808724832214769,0.32852348993288566,0.13221476510067118,0.27181208053691247,0.0755033557046981,0.1181208053691278,0.1255033557046983,0.05436241610738244,0.048322147651006626,0.12155108128262483,0.07114093959731532,0.040939597315436164,0.17818791946308768,0.010067114093959736,0.03389261744966441,0.18120805369127557
"(130, 140]",0.36744966442953086,0.3536912751677856,0.19093959731543714,0.27651006711409415,0.06979865771812073,0.08993288590604051,0.1016778523489935,0.05704697986577175,0.05637583892617441,0.05369127516778512,0.06812080536912754,0.024496644295302003,0.09798657718120841,0.026510067114093934,0.10134228187919501,0.07766059443911784
"(140, 150]",0.3511705685618731,0.4698996655518391,0.13511705685618752,0.2010033444816061,0.1735785953177264,0.06956521739130432,0.10301003344481632,0.060869565217391265,0.044147157190635375,0.05648457822370858,0.08628762541806041,0.009030100334448165,0.09464882943143817,0.07023411371237456,0.09130434782608725,0.10320114667940736
