time,group,activity
baseline,yw.25B,0.16622073578595342
baseline,yw.25B,0.0
baseline,yw.25B,0.21144555927164654
baseline,yw.25B,0.07391304347826085
baseline,yw.25B,0.3632107023411376
baseline,yw.25B,0.05648457822370855
baseline,yw.25B,0.008695652173913047
baseline,yw.25B,0.1026755852842809
baseline,yw.25B,0.03344481605351166
baseline,yw.25B,0.008695652173913047
baseline,yw.25B,0.2327759197324417
baseline,yw.25B,0.00297287253808993
baseline,yw.25B,0.4474173169825345
baseline,yw.25B,0.4183946488294319
baseline,yw.25B,0.15719063545150488
baseline,yw.25B,0.3421404682274249
ethanol,yw.25B,0.703691275167785
ethanol,yw.25B,0.7399328859060407
ethanol,yw.25B,0.6528709917971642
ethanol,yw.25B,0.8187919463087262
ethanol,yw.25B,0.7211409395973148
ethanol,yw.25B,0.8094705443698712
ethanol,yw.25B,0.7493288590604019
ethanol,yw.25B,0.8023489932885897
ethanol,yw.25B,0.8389261744966462
ethanol,yw.25B,0.8577181208053707
ethanol,yw.25B,0.7261744966442951
ethanol,yw.25B,0.7166293810589078
ethanol,yw.25B,0.6703952274422054
ethanol,yw.25B,0.7244966442953023
ethanol,yw.25B,0.6469052945563001
ethanol,yw.25B,0.5835570469798652
recovery,yw.25B,0.7681208053691273
recovery,yw.25B,0.6208053691275155
recovery,yw.25B,0.5671140939597317
recovery,yw.25B,0.6416107382550332
recovery,yw.25B,0.7127516778523484
recovery,yw.25B,0.4858314690529461
recovery,yw.25B,0.4244966442953024
recovery,yw.25B,0.5976510067114085
recovery,yw.25B,0.7087248322147648
recovery,yw.25B,0.615771812080537
recovery,yw.25B,0.5778523489932877
recovery,yw.25B,0.24123788217748035
recovery,yw.25B,0.660328113348246
recovery,yw.25B,0.5775167785234888
recovery,yw.25B,0.6696495152870967
recovery,yw.25B,0.4664429530201357
baseline,shi.25B,0.14046822742474946
baseline,shi.25B,0.4069119286510589
baseline,shi.25B,0.02508361204013375
baseline,shi.25B,0.09773318468970617
baseline,shi.25B,0.2431438127090301
baseline,shi.25B,0.1752508361204011
baseline,shi.25B,0.05351170568561861
baseline,shi.25B,0.4104156712852369
baseline,shi.25B,0.07826086956521755
baseline,shi.25B,0.10769230769230784
baseline,shi.25B,0.12240802675585305
baseline,shi.25B,0.16454849498327778
baseline,shi.25B,0.5782608695652166
