time,group,activity
10,yw.shi32B,0.07708079330191772
20,yw.shi32B,0.08548848383160473
30,yw.shi32B,0.07705536912751693
40,yw.shi32B,0.07395104895104904
50,yw.shi32B,0.06344951189749856
60,yw.shi32B,0.06842934890906227
70,yw.shi32B,0.057861432046214724
80,yw.shi32B,0.07092548810250163
90,yw.shi32B,0.051311545909590875
100,yw.shi32B,0.04570016538757425
110,yw.shi32B,0.0553023947528982
120,yw.shi32B,0.053329279416236
130,yw.shi32B,0.055104103111653494
140,yw.shi32B,0.056511954374825576
150,yw.shi32B,0.0591365156582549
160,yw.shi32B,0.058900244051250855
170,yw.shi32B,0.060656269066504065
180,yw.shi32B,0.06188431134083314
190,yw.shi32B,0.07642236119585122
200,yw.shi32B,0.06815321842586956
210,yw.shi32B,0.061777896017026504
220,yw.shi32B,0.0603245118974985
230,yw.shi32B,0.06702137591034595
240,yw.shi32B,0.06911500558093789
250,yw.shi32B,0.07746155029420597
260,yw.shi32B,0.08259349346305875
270,yw.shi32B,0.0851719798657719
280,yw.shi32B,0.08354560707748633
290,yw.shi32B,0.07035763149893583
300,yw.shi32B,0.10946461256863944
10,shi.32B,0.09533035939253737
20,shi.32B,0.09234479865771819
30,shi.32B,0.09519714765100676
40,shi.32B,0.10344899665551849
50,shi.32B,0.11226929530201361
60,shi.32B,0.10654913226221965
70,shi.32B,0.09078177257525097
80,shi.32B,0.10060822147651027
90,shi.32B,0.08419101142510843
100,shi.32B,0.08337263753900036
110,shi.32B,0.10882969798657735
120,shi.32B,0.11367056856187312
130,shi.32B,0.09358221476510076
140,shi.32B,0.09991880900921403
150,shi.32B,0.09063545150501684
160,shi.32B,0.108263422818792
170,shi.32B,0.11419882550335583
180,shi.32B,0.10641722408026774
190,shi.32B,0.10115352348993298
200,shi.32B,0.1077810402684566
210,shi.32B,0.10298913043478275
220,shi.32B,0.1068372483221478
230,shi.32B,0.11374043231352846
240,shi.32B,0.11771053118897448
250,shi.32B,0.10690130531225128
260,shi.32B,0.10265468227424758
270,shi.32B,0.10195050335570477
280,shi.32B,0.11205956375838949
290,shi.32B,0.125647993311037
300,shi.32B,0.14186241610738257
10,yw.32B,0.07654829917818964
20,yw.32B,0.06914149888143187
30,yw.32B,0.071989187173751
40,yw.32B,0.07224312523225579
50,yw.32B,0.08476882923191653
60,yw.32B,0.07141239012044392
70,yw.32B,0.06854793756967675
80,yw.32B,0.06629614093959732
90,yw.32B,0.06629179978501551
100,yw.32B,0.06899966704825186
110,yw.32B,0.06477442207307986
120,yw.32B,0.07576876625789676
130,yw.32B,0.06926034675615213
140,yw.32B,0.0679129460053843
150,yw.32B,0.07528335191378671
160,yw.32B,0.0773373415361671
170,yw.32B,0.08337061894108883
180,yw.32B,0.0641861761426979
190,yw.32B,0.06919742729306497
200,yw.32B,0.07107568978374357
210,yw.32B,0.055239687848383595
220,yw.32B,0.0550871551081283
230,yw.32B,0.06306311867298156
240,yw.32B,0.04551632772926906
250,yw.32B,0.05456160182762673
260,yw.32B,0.05829617242660724
270,yw.32B,0.07245991797166297
280,yw.32B,0.0750372856077555
290,yw.32B,0.07140468227424755
300,yw.32B,0.10147278150633857
